AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
Connecticut,Creighton,1,143,N,8:00 PM,12.7
Texas,Kansas,1,137,N,8:30 PM,-4.6
Colorado,USC,-1,135,N,10:30 PM,3.9
Wisconsin,Iowa,-4,146,N,8:00 PM,-9.3
Ohio St.,Purdue,2,142,N,1:00 PM,-5.5
Florida,Tennessee,-1,131,N,1:00 PM,4.3
North Carolina,Florida St.,-5,155,N,8:00 PM,10.7
Missouri,Arkansas,-3,151,N,6:00 PM,-5.7
Mississippi,LSU,-2,142,N,8:00 PM,7.0
Georgetown,Seton Hall,-1,139,N,5:00 PM,16.8
Oklahoma St.,Baylor,-8,152,N,5:30 PM,6.1
Georgia Tech,Virginia,-1,125,N,5:30 PM,10.5
Rutgers,Illinois,-6,140,N,5:30 PM,-15.5
UAB,Western Kentucky,-1,133,N,11:00 AM,-1.4
Maryland,Michigan,-7,131,N,10:30 AM,15.9
Mississippi St.,Alabama,-6,138,N,11:00 AM,9.5
North Texas,Louisiana Tech,-1,127,N,2:00 PM,-15.2
Ohio,Toledo,-3,157,N,4:00 PM,4.9
Colorado St.,Utah St.,-4,138,N,10:59 PM,7.1
UC Riverside,UC Irvine,2,124,N,10:59 PM,3.5
Akron,Buffalo,-6,154,N,6:30 PM,-15.7
UCF,Memphis,-7,133,N,9:00 PM,-4.8
Oregon St.,Oregon,-6,138,N,7:30 PM,-0.9
Cincinnati,SMU,-7,147,N,2:00 PM,-6.6
Nevada,San Diego St.,-9,139,N,8:30 PM,2.9
Morgan St.,Coppin St.,3,159,N,5:00 PM,-14.8
New Mexico St.,Utah Valley,2,138,N,10:00 PM,5.2
Texas Southern,Jackson St.,1,129,N,2:00 PM,-4.6
Montana,Eastern Washington,-5,147,N,9:00 PM,-9.3
Seattle,Grand Canyon,-4,130,N,7:00 PM,13.2
Tulane,Houston,-17,129,N,6:00 PM,-9.7
Montana St.,Southern Utah,-5,153,N,6:00 PM,-12.0
South Florida,Wichita St.,-10,138,N,11:00 AM,-23.2
Iona,Niagara,5,133,N,5:00 PM,12.6
UC Davis,UC Santa Barbara,-10,136,N,8:00 PM,7.9
Northwestern St.,Nicholls St.,-6,154,N,5:00 PM,2.0
Fairfield,Saint Peter's,-4,120,N,7:30 PM,16.6
Norfolk St.,North Carolina A&T,5,141,N,8:00 PM,10.2
Grambling St.,Prairie View A&M,-6,136,N,8:30 PM,4.7
