AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Utah St.,Boise St.,-1,139,H,09:00 PM
Toledo,Buffalo,-2,160,H,08:00 PM
Saint Louis,Dayton,3,135,H,06:00 PM
South Dakota St.,North Dakota St.,-1,141,H,07:30 PM
Vermont,UMBC,2,134,H,04:00 PM
Akron,Ball St.,2,142,H,06:00 PM
Monmouth,Iona,-1,157,H,06:00 PM
New Mexico St.,Utah Valley,-1,143,N,08:00 PM
Oakland,Milwaukee,-3,155,H,05:00 PM
Green Bay,Illinois Chicago,1,141,H,07:00 PM
Southern Miss,FIU,-1,135,H,06:00 PM
UC Irvine,Cal St. Fullerton,6,142,H,07:00 PM
Cal St. Bakersfield,UC Santa Barbara,-7,125,H,10:00 PM
South Alabama,Appalachian St.,-2,136,H,05:00 PM
Winthrop,High Point,7,147,H,06:00 PM
Wright St.,Northern Kentucky,10,142,H,05:00 PM
Cleveland St.,Fort Wayne,5,139,H,06:00 PM
Old Dominion,UAB,-10,130,H,06:30 PM
IUPUI,Youngstown St.,-4,148,H,04:00 PM
North Dakota,Nebraska Omaha,-1,143,H,07:00 PM
Hawaii,Cal St. Northridge,5,145,H,06:00 PM
Campbell,Hampton,3,141,H,05:00 PM
UC Riverside,UC San Diego,10,136,H,07:00 PM
New Mexico,Wyoming,-4,136,N,08:00 PM
Cal Baptist,Grand Canyon,-11,143,H,08:00 PM
Canisius,Fairfield,4,138,H,04:00 PM
UNLV,San Jose St.,7,149,H,08:30 PM
Tarleton St.,Dixie St.,4,146,H,08:00 PM
Marist,Saint Peter's,-7,117,H,07:00 PM
Troy,Georgia St.,-9,137,H,05:00 PM
Longwood,Charleston Southern,5,131,H,05:00 PM
Robert Morris,Detroit,-11,145,H,05:00 PM
Cal Poly,Long Beach St.,-9,143,H,06:00 PM
Jacksonville,Stetson,-7,131,H,06:00 PM
Kennesaw St.,Lipscomb,-10,134,H,07:00 PM
Denver,UMKC,-12,126,H,07:00 PM
