AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Clemson,Georgia Tech,1,127,H,06:00 PM
VCU,St. Bonaventure,-1,135,H,05:00 PM
Kentucky,Georgia,1,145,H,06:00 PM
Auburn,Arkansas,-7,153,H,08:00 PM
Rhode Island,Duquesne,2,134,H,05:00 PM
Providence,Creighton,-10,146,H,06:00 PM
Northwestern,Wisconsin,-9,135,H,07:00 PM
East Tennessee St.,Western Carolina,1,145,H,03:00 PM
Chattanooga,Samford,-1,155,H,07:00 PM
Mercer,The Citadel,2,182,H,04:00 PM
Wake Forest,North Carolina,-8,142,H,06:00 PM
Abilene Christian,Sam Houston St.,5,137,H,08:30 PM
Tulsa,Houston,-10,118,H,07:00 PM
Furman,VMI,7,159,H,06:00 PM
Saint Joseph's,George Mason,-6,148,H,06:00 PM
UNC Asheville,Gardner Webb,-3,147,H,06:00 PM
Colorado,Washington,13,141,H,08:00 PM
Loyola Chicago,Valparaiso,10,130,H,06:00 PM
Radford,Campbell,-2,126,H,06:00 PM
Bradley,Illinois St.,9,139,H,08:00 PM
Fresno St.,Boise St.,-14,138,H,08:00 PM
Texas A&M Corpus Chris,New Orleans,-3,139,H,07:00 PM
High Point,Longwood,-4,130,H,05:00 PM
Nicholls St.,Houston Baptist,6,152,H,07:00 PM
Northwestern St.,Stephen F. Austin,-14,152,H,06:30 PM
Southeastern Louisiana,McNeese St.,-3,145,H,06:30 PM
Fordham,Davidson,-13,119,H,12:00 PM
Winthrop,Presbyterian,16,146,H,04:00 PM
