AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Virginia,Florida St.,-1,131,H,06:00 PM
East Tennessee St.,Chattanooga,-1,135,H,06:00 PM
Texas Southern,Jackson St.,1,133,H,08:00 PM
Washington,Washington St.,-9,141,H,07:00 PM
Stephen F. Austin,New Orleans,8,156,H,01:00 PM
Eastern Kentucky,Tennessee Tech,7,153,H,06:00 PM
Murray St.,SIU Edwardsville,7,137,H,04:00 PM
Hampton,Longwood,-6,134,H,05:00 PM
USC Upstate,Presbyterian,-3,131,H,05:00 PM
Southern,Mississippi Valley St.,18,140,H,07:30 PM
