AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Ohio St.,Illinois,-5,147,H,11:00 AM
Marquette,St. John's,2,156,H,11:00 AM
Syracuse,Pittsburgh,2,142,H,11:00 AM
North Carolina,Florida St.,-7,145,H,11:00 AM
Georgia,Mississippi,-9,143,H,11:00 AM
San Diego St.,Utah St.,-1,123,H,12:00 PM
Missouri,Texas A&M,6,126,H,12:00 PM
Army,Boston University,-2,138,H,12:00 PM
The Citadel,VMI,-6,170,H,12:00 PM
Hartford,UMBC,-5,131,H,12:00 PM
William & Mary,Drexel,-9,131,H,12:00 PM
Northern Illinois,Ball St.,-11,129,H,12:00 PM
Holy Cross,Colgate,-17,149,H,12:00 PM
Northern Arizona,Montana,-13,125,H,12:00 PM
Michigan,Minnesota,5,147,H,1:00 PM
Kentucky,Auburn,-1,137,H,1:00 PM
Old Dominion,Rice,-1,141,H,1:00 PM
Wofford,Chattanooga,-1,139,H,1:00 PM
Western Carolina,Mercer,-3,165,H,1:00 PM
Creighton,Butler,11,139,H,1:00 PM
Kent St.,Ohio,-7,153,H,1:00 PM
Temple,Tulane,-2,126,H,1:00 PM
Toledo,Akron,8,146,H,1:00 PM
Davidson,La Salle,5,129,H,1:00 PM
James Madison,Towson,-2,148,H,1:00 PM
New Hampshire,Stony Brook,-2,130,H,1:00 PM
Lehigh,Bucknell,-1,139,H,1:00 PM
UMass Lowell,Binghamton,3,135,H,1:00 PM
Oral Roberts,Denver,12,158,H,1:00 PM
Maine,Vermont,-12,122,H,1:00 PM
Portland St.,Montana St.,-9,147,H,1:05 PM
Stanford,Colorado,-7,139,H,2:00 PM
UNC Greensboro,Samford,2,148,H,2:00 PM
Youngstown St.,Oakland,-3,153,H,2:00 PM
Troy,Georgia Southern,-4,126,H,2:00 PM
Northern Colorado,Idaho,4,134,H,2:00 PM
Southern Utah,Eastern Washington,-7,151,H,2:05 PM
Arkansas,Alabama,-3,161,H,2:30 PM
Baylor,Texas Tech,3,135,H,3:00 PM
Florida,Mississippi St.,1,137,H,3:00 PM
Boston College,Notre Dame,-4,154,H,3:00 PM
FIU,Florida Atlantic,1,143,H,3:00 PM
Coastal Carolina,Georgia St.,-8,152,H,3:00 PM
Indiana St.,Illinois St.,5,143,H,3:00 PM
UAB,Charlotte,6,122,H,3:00 PM
UTEP,North Texas,-7,127,H,3:00 PM
East Tennessee St.,Furman,-9,137,H,3:00 PM
