AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Memphis,SMU,-2,144,H,07:00 PM
Michigan St.,Rutgers,-4,146,H,06:00 PM
Stanford,Arizona,-6,146,H,09:00 PM
Gonzaga,San Diego,24,160,H,08:00 PM
UTEP,UTSA,2,152,H,06:00 PM
North Texas,Rice,4,136,H,07:00 PM
TCU,Kansas,-11,139,H,07:00 PM
California,Arizona St.,-7,147,H,10:00 PM
Belmont,Austin Peay,7,155,H,08:00 PM
Morehead St.,Jacksonville St.,-3,123,H,07:30 PM
Oregon St.,USC,-13,135,H,04:00 PM
Bradley,Valparaiso,5,125,H,06:00 PM
Louisiana Tech,Southern Miss,5,125,H,06:00 PM
Houston,Tulane,16,124,H,08:00 PM
Montana St.,Montana,-4,124,H,08:00 PM
Wyoming,San Diego St.,-17,147,H,08:00 PM
UNC Asheville,Winthrop,-13,161,H,06:00 PM
Merrimack,LIU Brooklyn,-4,138,H,
UAB,Middle Tennessee,12,134,H,08:00 PM
Air Force,San Jose St.,1,143,N,08:30 PM
Sacramento St.,Eastern Washington,-8,140,H,08:05 PM
SIU Edwardsville,Southeast Missouri St.,-4,142,H,08:00 PM
Eastern Illinois,Tennessee Martin,4,148,H,08:00 PM
Tennessee St.,Murray St.,-8,130,H,07:30 PM
New Mexico,Fresno St.,-5,121,H,10:00 PM
Weber St.,Idaho,8,146,H,08:00 PM
