AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
BYU,Gonzaga,-13,159,N,8:00 PM,4.5
Oral Roberts,North Dakota St.,-1,145,N,8:00 PM,3.6
Miami FL,Pittsburgh,-5,139,N,1:00 PM,6.4
Boston College,Duke,-10,156,N,3:30 PM,-5.8
Long Beach St.,Cal St. Northridge,1,157,N,5:00 PM,1.0
Wake Forest,Notre Dame,-8,140,N,6:00 PM,-7.3
Oakland,Cleveland St.,-3,141,N,6:00 PM,3.7
Elon,Drexel,-3,131,N,6:00 PM,17.6
Iona,Quinnipiac,5,141,N,4:00 PM,0.6
Manhattan,Fairfield,1,127,N,6:30 PM,-12.3
Southern Miss,Rice,-4,140,N,7:00 PM,-3.8
Mount St. Mary's,Bryant,-7,133,H,6:00 PM,-4.6
McNeese St.,Southeastern Louisiana,2,144,N,5:00 PM,15.6
Cal Poly,Cal St. Fullerton,-6,142,N,8:00 PM,7.3
