AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Xavier,St. John's,-1,157,H,07:30 PM
Florida,Arkansas,-3,153,H,06:00 PM
Missouri,Georgia,4,158,H,06:00 PM
Providence,Connecticut,-4,130,H,05:30 PM
Northwestern,Illinois,-11,147,H,08:00 PM
Dayton,Rhode Island,-2,130,H,06:00 PM
Bowling Green,Ball St.,-1,149,H,06:00 PM
Michigan St.,Purdue,-7,133,H,06:00 PM
Temple,Tulsa,-2,126,H,06:00 PM
Loyola Marymount,Santa Clara,3,131,H,08:00 PM
Nebraska,Maryland,-8,134,H,06:00 PM
Texas Southern,Jackson St.,1,133,H,03:00 PM
Iowa St.,Oklahoma St.,-14,144,H,03:00 PM
Kent St.,Western Michigan,6,138,H,06:00 PM
Miami OH,Toledo,-11,149,H,06:00 PM
La Salle,Saint Louis,-15,145,H,08:00 PM
Austin Peay,Southeast Missouri St.,5,137,H,06:00 PM
St. Francis NY,Fairleigh Dickinson,-7,167,H,06:00 PM
Wagner,Mount St. Mary's,-4,118,H,06:00 PM
