AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Wisconsin,Michigan,-1,133,H,6:00 PM
Alabama,Kentucky,-1,147,H,8:00 PM
Syracuse,North Carolina,-1,143,H,8:00 PM
Kansas,Oklahoma St.,2,144,H,7:00 PM
North Carolina St.,Florida St.,-4,146,H,
Duke,Virginia Tech,-2,140,H,6:00 PM
Mississippi,Florida,-2,136,H,6:00 PM
Miami FL,Boston College,1,145,H,6:00 PM
Providence,Marquette,-3,139,H,8:00 PM
Pittsburgh,Georgia Tech,-4,136,H,
Butler,St. John's,-4,150,H,6:00 PM
TCU,Oklahoma,-7,139,H,6:30 PM
Tennessee,Vanderbilt,12,132,H,6:00 PM
Ball St.,Bowling Green,-8,148,H,6:00 PM
Kent St.,Central Michigan,5,155,H,3:30 PM
UC Riverside,USC,-14,132,H,
Buffalo,Western Michigan,6,140,H,1:00 PM
Miami OH,Ohio,-7,145,H,5:00 PM
Saint Joseph's,Davidson,-11,149,H,6:00 PM
Eastern Michigan,Toledo,-11,141,H,6:00 PM
Akron,Northern Illinois,5,129,H,5:00 PM
Alabama St.,Mississippi Valley St.,1,139,H,4:30 PM
