AWAY,HOME,VegasSpread,VegasTotal,Court,Time
West Virginia,Kansas,1,141,H,08:00 PM
Texas Tech,Oklahoma,1,135,H,06:00 PM
North Carolina,North Carolina St.,3,145,H,08:00 PM
Louisville,Pittsburgh,1,141,H,06:00 PM
Purdue,Iowa,5,159,H,08:00 PM
Saint Mary's,San Diego St.,1,125,N,08:00 PM
Cincinnati,UCF,1,137,H,03:00 PM
Wichita St.,South Florida,1,135,H,06:00 PM
Colorado St.,Santa Clara,-3,141,H,
Abilene Christian,Arkansas,9,135,H,04:00 PM
Nebraska,Wisconsin,16,140,H,06:00 PM
Ohio,Akron,5,143,H,01:00 PM
Ball St.,Western Michigan,1,131,H,01:00 PM
Bradley,Missouri,12,136,H,06:00 PM
Montana St.,Portland,1,147,H,02:00 PM
Niagara,St. Francis PA,-1,143,H,
New Hampshire,NJIT,-3,137,H,01:00 PM
Colorado,Grand Canyon,11,137,N,10:00 PM
Northwestern St.,Gonzaga,-35,175,H,08:00 PM
Fairleigh Dickinson,Fairfield,1,141,H,02:00 PM
Niagara,Albany,1,137,H,02:00 PM
Northeastern,Georgia,9,141,H,06:00 PM
Charlotte,George Washington,3,139,H,01:00 PM
Georgia Southern,Florida Gulf Coast,3,133,H,06:00 PM
Hofstra,Richmond,16,152,H,01:00 PM
Vanderbilt,Davidson,9,133,H,06:00 PM
Vermont,UMass Lowell,8,144,H,02:00 PM
Montana,Arizona,12,134,H,06:00 PM
La Salle,Maryland,11,131,H,06:00 PM
Chattanooga,Tennessee St.,4,138,H,06:00 PM
UNC Asheville,Marshall,-14,154,H,05:00 PM
Tulane,East Carolina,6,130,H,02:30 PM
East Tennessee St.,Alabama,15,137,H,06:30 PM
High Point,Eastern Kentucky,8,150,H,06:00 PM
Central Connecticut,Binghamton,1,149,H,03:00 PM
Temple,Houston,19,133,H,07:00 PM
UNC Greensboro,North Carolina A&T,8,138,H,06:00 PM
James Madison,VCU,18,146,H,02:30 PM
Jackson St.,North Alabama,-5,137,H,12:00 PM
Appalachian St.,Auburn,13,133,H,02:00 PM
Louisiana Tech,Louisiana Monroe,8,132,H,06:30 PM
Northern Arizona,Denver,-3,145,H,01:00 PM
North Dakota St.,TCU,12,124,H,08:00 PM
Lamar,UTSA,-12,150,H,06:00 PM
Tennessee Tech,Western Kentucky,20,144,H,06:00 PM
Central Connecticut,New Hampshire,-9,149,H,
North Dakota,Drake,16,138,H,06:00 PM
William & Mary,Virginia,23,123,H,01:00 PM
Seattle,California,-12,132,H,
Southeast Missouri St.,Indiana St.,16,142,H,12:00 PM
Maine,Boston College,-15,143,H,11:00 AM
Northern Illinois,Toledo,14,130,H,01:00 PM
Mercer,Kennesaw St.,11,143,H,01:00 PM
Hampton,Charleston Southern,7,139,H,05:00 PM
Portland St.,Oregon St.,-16,146,H,07:00 PM
Tennessee Martin,Mississippi,28,140,H,04:00 PM
Idaho St.,Northern Colorado,-8,130,H,03:00 PM
Sacred Heart,Wagner,-8,134,H,06:00 PM
Alcorn St.,Liberty,-17,135,H,12:00 PM
Presbyterian,The Citadel,14,154,H,02:00 PM
Chicago St.,Iowa St.,24,146,H,12:00 PM
Howard,Mount St. Mary's,-12,142,H,12:00 PM
