AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Kansas,Oklahoma,-2,140,H,11:00 AM
UCLA,Stanford,-1,139,H,4:00 PM
Connecticut,Creighton,-4,138,H,11:00 AM
Baylor,Oklahoma St.,8,148,H,1:00 PM
LSU,Kentucky,2,142,H,5:00 PM
North Carolina St.,North Carolina,-2,144,H,1:00 PM
Auburn,South Carolina,-3,151,H,11:00 AM
Ohio St.,Wisconsin,-6,132,H,3:00 PM
Virginia Tech,Syracuse,-3,141,H,11:00 AM
Florida,Georgia,5,155,H,1:00 PM
Missouri,Tennessee,-6,128,H,7:30 PM
SMU,UCF,1,141,H,1:00 PM
Duke,Louisville,-3,139,H,3:00 PM
Pittsburgh,Wake Forest,2,144,H,5:00 PM
Northwestern,Penn St.,-5,147,H,6:00 PM
Saint Mary's,San Francisco,-1,123,H,6:00 PM
Maryland,Minnesota,-8,148,H,1:00 PM
Clemson,Florida St.,-7,135,H,2:00 PM
Georgia,Florida,-8,156,N,1:00 PM
St. Bonaventure,Saint Louis,-6,136,H,6:00 PM
George Mason,Saint Joseph's,1,147,H,11:30 AM
Providence,Villanova,-8,140,H,1:30 PM
Arkansas,Vanderbilt,7,153,H,12:00 PM
Furman,East Tennessee St.,2,138,H,3:00 PM
Mississippi St.,Alabama,-12,146,H,5:00 PM
Louisiana Tech,UTEP,-2,138,H,7:00 PM
DePaul,Marquette,-6,144,H,5:00 PM
St. Bonaventure,Duquesne,4,128,H,6:00 PM
Dayton,VCU,-6,132,H,3:30 PM
Georgia Tech,Virginia,-8,122,H,7:00 PM
UNC Greensboro,Chattanooga,-1,135,H,11:00 AM
Pacific,Gonzaga,-22,154,H,9:00 PM
Kent St.,Toledo,-7,155,H,11:00 AM
Pepperdine,BYU,-8,148,H,9:00 PM
Little Rock,UT Arlington,1,147,H,4:00 PM
Colorado,Washington St.,8,132,H,7:00 PM
Long Beach St.,Cal Baptist,-1,163,H,8:00 PM
Jacksonville St.,Austin Peay,1,139,H,4:00 PM
Charlotte,Florida Atlantic,-1,121,H,3:00 PM
Hawaii,Cal St. Fullerton,1,147,H,7:00 PM
Detroit,Oakland,-1,153,H,4:00 PM
Ball St.,Ohio,-6,152,H,12:30 PM
Eastern Washington,Northern Colorado,3,143,H,1:00 PM
Cal St. Bakersfield,UC Riverside,-3,115,H,6:00 PM
Illinois Chicago,Youngstown St.,-1,141,H,4:00 PM
West Virginia,Kansas St.,9,135,H,3:00 PM
Georgia St.,Appalachian St.,4,140,H,3:00 PM
USC,California,10,134,H,7:00 PM
Saint Peter's,Siena,-4,132,H,6:00 PM
Santa Clara,Loyola Marymount,-6,130,H,6:00 PM
San Diego,Portland,4,146,H,4:00 PM
VMI,Mercer,-6,164,H,1:00 PM
Albany,New Hampshire,-1,135,H,1:00 PM
Weber St.,Southern Utah,-3,157,H,1:00 PM
Marshall,FIU,8,154,H,1:00 PM
Eastern Illinois,Tennessee St.,1,139,H,4:00 PM
Houston,Temple,13,127,H,11:00 AM
Akron,Western Michigan,2,132,H,4:00 PM
Niagara,Quinnipiac,-1,125,H,3:00 PM
Fort Wayne,Green Bay,-3,153,H,4:00 PM
Norfolk St.,Coppin St.,1,145,H,12:00 PM
Loyola MD,American,-2,146,H,11:00 AM
Rice,UAB,-10,142,H,4:00 PM
Valparaiso,Illinois St.,-3,139,H,5:00 PM
Army,Navy,-4,134,H,1:30 PM
Montana,Sacramento St.,2,118,H,1:05 PM
Oregon St.,Oregon,-14,138,H,9:30 PM
Texas A&M,Mississippi,-9,119,H,2:30 PM
James Madison,Northeastern,-6,140,H,11:00 AM
Southern Miss,UTSA,-4,138,H,3:00 PM
Idaho St.,Portland St.,1,135,H,2:05 PM
Western Carolina,Wofford,-7,145,H,3:00 PM
Western Kentucky,Middle Tennessee,8,140,H,4:00 PM
Stetson,Bellarmine,-2,134,H,4:00 PM
UC Davis,UC San Diego,-5,149,H,4:00 PM
Stony Brook,NJIT,-3,137,H,1:00 PM
La Salle,Richmond,-15,145,H,1:30 PM
Northern Kentucky,Robert Morris,-1,135,H,4:00 PM
Milwaukee,Cleveland St.,-6,128,H,4:00 PM
New Orleans,Nicholls St.,-6,152,H,5:00 PM
Southern,Alabama A&M,3,139,H,2:00 PM
Utah Valley,St. John's,-15,157,H,3:00 PM
Wright St.,IUPUI,14,148,H,11:00 AM
Northwestern St.,Southeastern Louisiana,1,149,H,4:00 PM
Lehigh,Holy Cross,-1,145,H,1:00 PM
Georgia Southern,South Alabama,-3,137,H,4:00 PM
Towson,Hofstra,-7,141,H,1:00 PM
Florida Gulf Coast,Lipscomb,-4,138,H,7:00 PM
Delaware,UNC Wilmington,-7,139,H,12:00 PM
Marist,Rider,-3,135,H,6:00 PM
Jacksonville,North Alabama,-5,139,H,6:00 PM
Central Arkansas,Abilene Christian,-12,142,H,3:00 PM
South Dakota,Western Illinois,7,141,H,7:00 PM
Bucknell,Colgate,-14,150,H,12:00 PM
UC Santa Barbara,Cal St. Northridge,12,148,H,6:00 PM
UMKC,Oral Roberts,-8,140,H,7:00 PM
New Mexico,San Jose St.,4,138,N,1:00 PM
Texas A&M Corpus Chris,Incarnate Word,-3,135,H,2:00 PM
McNeese St.,Houston Baptist,-4,160,H,5:00 PM
SIU Edwardsville,Belmont,-16,152,H,4:00 PM
Troy,Coastal Carolina,-10,140,H,2:00 PM
Boston University,Lafayette,-9,145,H,3:00 PM
Grand Canyon,Dixie St.,9,141,H,8:00 PM
Arkansas St.,Louisiana Lafayette,-12,146,H,4:00 PM
North Dakota,South Dakota St.,-16,146,H,7:30 PM
Texas St.,Louisiana Monroe,6,120,H,4:00 PM
Tennessee Tech,Murray St.,-11,137,H,7:30 PM
Lamar,Stephen F. Austin,-14,142,H,4:30 PM
Montana St.,Northern Arizona,6,134,H,1:00 PM
Kennesaw St.,North Florida,-6,130,H,4:00 PM
Cal Poly,UC Irvine,-17,133,H,6:00 PM
Binghamton,Maine,-5,125,H,12:00 PM
Alcorn St.,Alabama St.,5,135,H,4:30 PM
Denver,North Dakota St.,-14,136,H,7:30 PM
Tennessee Martin,Morehead St.,-14,132,H,3:00 PM
