AWAY,HOME,VegasSpread,VegasTotal,Court
Gonzaga,West Virginia,2,158,N
Indiana,Stanford,1,137,N
Baylor,Illinois,3,145,N
Alabama,Providence,-2,150,N
BYU,St. John's,-1,155,N
North Carolina,Texas,-4,142,N
Seton Hall,Rhode Island,-2,148,H
Missouri,Oregon,-4,138,N
Duquesne,UNC Greensboro,-1,139,N
South Dakota St.,Iowa St.,-2,154,H
Little Rock,Winthrop,2,152,N
VCU,Penn St.,-6,144,H
Oregon St.,Washington St.,-1,135,H
San Francisco,Nevada,-4,142,H
Davidson,UNLV,6,144,N
Old Dominion,Norfolk St.,4,134,H
Murray St.,Middle Tennessee,5,139,H
UT Arlington,Arkansas,-13,139,H
Belmont,Tennessee St.,5,145,H
Ball St.,Michigan,-15,139,H
Cal St. Bakersfield,Santa Clara,-8,136,H
Eastern Kentucky,USC Upstate,6,152,H
Louisiana Lafayette,New Orleans,5,157,H
Montana St.,Pacific,-7,135,H
Southern Illinois,Southeast Missouri St.,3,137,H
Hartford,Fairfield,-3,129,H
Oral Roberts,Wichita St.,-16,152,H
Army,Florida,-20,138,N
Florida Gulf Coast,South Florida,-9,131,H
Lipscomb,Cincinnati,-17,139,H
Tennessee Tech,Xavier,-17,141,H
Texas A&M Corpus Chris,UT Rio Grande Valley,-5,139,H
Western Michigan,Notre Dame,-19,145,H
Drexel,Quinnipiac,7,147,N
Morehead St.,Ohio St.,-24,140,H
North Florida,Florida St.,-27,149,H
Arkansas St.,Memphis,-21,141,H
Southeastern Louisiana,Cal Baptist,-7,147,H
Arkansas Pine Bluff,Northwestern,-18,138,H
Evansville,Tennessee Martin,4,134,H
La Salle,Howard,11,147,H
Houston Baptist,SMU,-30,162,H
Incarnate Word,Wyoming,-17,141,H
Kennesaw St.,UAB,-22,146,H
South Carolina St.,Clemson,-31,139,H
SIU Edwardsville,Northern Illinois,-12,134,H
Presbyterian,Jacksonville,-15,135,H
