AWAY,HOME,VegasSpread,VegasTotal,Court
Northern Iowa,Western Kentucky,1,151,N
UCLA,San Diego St.,-1,139,H
VCU,Utah St.,-2,136,N
Arizona St.,Rhode Island,7,157,N
California,Oregon St.,1,139,H
Memphis,Saint Mary's,5,143,N
Old Dominion,Maryland,-4,136,H
Georgia St.,Georgia Tech,-8,146,H
South Dakota St.,West Virginia,-12,154,N
Clemson,Mississippi St.,4,134,N
Boston College,Villanova,-11,149,N
Ball St.,Northern Kentucky,-1,135,H
Pepperdine,UC Irvine,4,150,N
Toledo,Bradley,-7,141,N
Florida Atlantic,South Alabama,-1,143,H
Drake,Kansas St.,-9,137,H
Bowling Green,Michigan,-17,153,H
Illinois Chicago,Northern Illinois,-1,131,H
Oklahoma St.,UT Arlington,9,139,H
UMBC,Georgetown,-7,145,H
Southern Utah,Loyola Marymount,-6,146,H
Eastern Michigan,Michigan St.,-15,139,H
Fairleigh Dickinson,Quinnipiac,3,153,H
UNC Wilmington,Western Carolina,-4,152,N
Montana St.,UNLV,-10,148,H
Austin Peay,Nebraska Omaha,6,152,N
Northwestern St.,Texas Tech,-23,155,H
Saint Peter's,St. John's,-13,141,H
College of Charleston,North Carolina,-17,145,H
Eastern Illinois,Wisconsin,-18,140,H
Illinois St.,Ohio St.,-18,144,H
Mount St. Mary's,Morgan St.,1,141,H
Nicholls St.,UC Davis,-1,143,H
Texas Southern,Washington St.,-7,149,H
Abilene Christian,East Tennessee St.,6,136,N
Seattle,Portland,-4,146,H
UC Riverside,Pacific,-7,131,H
Liberty,Purdue,-8,118,N
North Dakota St.,Nevada,-7,145,N
North Carolina A&T,Illinois,-23,149,H
George Washington,Navy,-4,132,H
UT Rio Grande Valley,Texas,-27,145,H
Tennessee Tech,Indiana,-20,146,H
Oral Roberts,Missouri,-16,150,H
San Francisco,UMass Lowell,12,152,N
Lamar,Houston,-19,137,H
Jacksonville St.,Alabama,-20,148,H
Fairfield,Providence,-20,138,H
Green Bay,Minnesota,-21,147,H
Towson,Virginia,-17,121,N
Charleston Southern,North Carolina St.,-18,144,H
St. Francis PA,Pittsburgh,-17,147,H
Eastern Kentucky,North Florida,8,156,N
Central Connecticut,Connecticut,-24,156,H
Southeastern Louisiana,Fort Wayne,-5,143,H
North Carolina Central,Iowa,-24,154,H
Morehead St.,Kentucky,-23,145,H
Florida A&M,Florida Gulf Coast,-6,140,H
Arkansas Pine Bluff,Marquette,-17,147,H
Cal Baptist,USC,-20,152,H
Oakland,Xavier,-17,139,H
Sam Houston St.,SMU,-19,147,H
Evansville,Louisville,-21,139,H
Western Michigan,Butler,-16,134,H
Little Rock,Prairie View A&M,15,149,N
Colorado,South Dakota,18,144,N
McNeese St.,Nebraska,-18,154,H
North Dakota,Miami OH,-11,143,H
SIU Edwardsville,Saint Louis,-28,144,H
Sacred Heart,Rutgers,-27,141,H
Grambling St.,Grand Canyon,-10,140,H
Idaho St.,Santa Clara,-17,155,H
High Point,Davidson,-20,140,H
Radford,Virginia Tech,-19,131,H
Delaware St.,Wake Forest,-17,157,H
Alcorn St.,UAB,-18,152,H
Chicago St.,Ohio,-16,150,N
Mississippi Valley St.,Arkansas,-32,152,H
Houston Baptist,TCU,-24,154,H
Appalachian St.,South Carolina St.,10,138,H
