AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
Wisconsin,North Carolina,2,134,N,6:10 PM,-15.1
Georgia Tech,Loyola Chicago,-2,126,N,3:00 PM,10.4
Virginia Tech,Florida,-1,135,N,11:15 AM,5.3
Rutgers,Clemson,1,123,N,8:20 PM,-14.8
Buffalo,Colorado St.,1,153,N,6:00 PM,3.6
Utah St.,Texas Tech,-3,129,N,12:45 PM,-9.6
Syracuse,San Diego St.,-4,138,N,8:40 PM,3.3
Colgate,Arkansas,-7,159,N,11:45 AM,1.4
Louisiana Tech,Mississippi,-4,130,N,8:00 PM,-3.0
Winthrop,Villanova,-10,148,N,8:57 PM,10.8
North Texas,Purdue,-5,123,N,6:25 PM,-9.5
Liberty,Oklahoma St.,-6,138,N,5:25 PM,2.9
Oregon St.,Tennessee,-8,128,N,3:30 PM,9.5
Drexel,Illinois,-17,145,N,12:15 PM,-4.7
Morehead St.,West Virginia,-11,135,N,8:50 PM,-5.0
Oral Roberts,Ohio St.,-18,160,N,2:00 PM,6.5
Hartford,Baylor,-20,142,N,2:30 PM,15.8
Cleveland St.,Houston,-19,131,N,6:15 PM,-15.0
