AWAY,HOME,VegasSpread,VegasTotal,Court,Time
UCLA,Arizona St.,-1,153,H,9:30 PM
USC,Arizona,-1,141,H,8:00 PM
Illinois,Northwestern,4,154,H,8:00 PM
Iowa,Maryland,2,160,H,6:00 PM
Oregon,Colorado,-3,141,H,4:00 PM
BYU,Gonzaga,-15,165,H,7:30 PM
Indiana,Wisconsin,-7,127,H,6:00 PM
Washington St.,California,-1,123,H,6:00 PM
Cincinnati,SMU,-6,146,H,6:00 PM
Murray St.,Eastern Illinois,1,139,H,7:30 PM
Northeastern,Hofstra,-3,135,H,4:00 PM
UNLV,Colorado St.,-6,146,H,7:00 PM
Jacksonville St.,Eastern Kentucky,-5,143,H,7:00 PM
Montana St.,Northern Colorado,1,135,H,7:30 PM
Washington,Stanford,-11,135,H,8:00 PM
Nevada,San Diego St.,-13,137,H,9:00 PM
Lipscomb,Bellarmine,1,139,H,
St. Francis PA,LIU Brooklyn,-3,155,H,6:00 PM
Mount St. Mary's,St. Francis NY,2,138,H,6:00 PM
Idaho St.,Northern Arizona,-1,131,H,7:00 PM
Central Connecticut,Bryant,-13,171,H,3:00 PM
Portland,San Francisco,-16,146,H,8:00 PM
Tennessee Tech,Morehead St.,-5,131,H,6:00 PM
Southeast Missouri St.,Belmont,-14,148,H,6:00 PM
Idaho,Southern Utah,-14,148,H,8:00 PM
Tennessee Martin,Tennessee St.,-8,140,H,8:00 PM
Sacred Heart,Merrimack,-9,123,H,6:00 PM
