AWAY,HOME,VegasSpread,VegasTotal,Court
Gonzaga,Kansas,3,151,N
Memphis,Western Kentucky,2,154,N
Arizona St.,Villanova,-3,159,N
Clemson,Purdue,-1,129,N
Boston College,Rhode Island,-1,151,N
Northern Iowa,Saint Mary's,4,142,N
Auburn,Saint Joseph's,3,157,N
South Dakota St.,Utah St.,1,147,N
Nevada,Nebraska,-5,151,H
VCU,West Virginia,-12,146,N
Middle Tennessee,Nebraska Omaha,1,153,N
La Salle,St. John's,-9,149,H
Bradley,Xavier,-10,140,H
Liberty,Mississippi St.,-4,122,N
Austin Peay,East Tennessee St.,5,139,N
San Francisco,Towson,6,140,N
North Carolina Central,Southern,-5,141,N
North Carolina A&T,Ohio,-11,149,N
New Orleans,BYU,-23,157,H
Oakland,Toledo,-7,143,N
Chicago St.,Illinois,-32,154,H
LSU,SIU Edwardsville,24,154,N
Belmont,Howard,15,157,N
Mississippi Valley St.,North Texas,-33,149,H
