AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Colorado St.,Nevada,1,145,H,8:00 PM
Massachusetts,Saint Louis,-5,143,N,12:00 PM
Boston College,Miami FL,-1,143,H,5:00 PM
San Francisco,Loyola Marymount,-3,137,H,8:00 PM
Dayton,VCU,-6,132,H,2:30 PM
Kent St.,Buffalo,-7,155,H,5:00 PM
Eastern Kentucky,Morehead St.,-2,140,N,9:30 PM
Duquesne,St. Bonaventure,-6,128,N,10:00 AM
George Mason,Davidson,-4,128,N,4:30 PM
Western Carolina,The Citadel,1,163,N,4:30 PM
Hawaii,UC Davis,-1,139,H,6:00 PM
UAB,North Texas,-6,122,H,7:00 PM
Jacksonville St.,Belmont,-5,147,N,7:00 PM
Miami OH,Akron,-4,142,H,6:00 PM
Saint Peter's,Quinnipiac,-1,123,H,3:00 PM
Georgia Tech,Wake Forest,9,135,H,7:00 PM
Seattle,Cal Baptist,-2,150,H,8:00 PM
Cal St. Fullerton,UC San Diego,-2,154,H,7:00 PM
Ball St.,Toledo,-10,152,H,6:00 PM
Samford,Mercer,-5,151,N,7:00 PM
Valparaiso,Missouri St.,-6,134,N,8:00 PM
Little Rock,Appalachian St.,-1,131,N,7:30 PM
Monmouth,Rider,3,157,H,3:00 PM
Old Dominion,Western Kentucky,-9,135,H,7:00 PM
Florida Gulf Coast,North Alabama,1,135,N,6:00 PM
Georgia Southern,Arkansas St.,-2,134,N,5:00 PM
Tarleton St.,UT Rio Grande Valley,-2,130,H,7:00 PM
Northern Iowa,Drake,-11,143,H,5:00 PM
UC Irvine,Long Beach St.,7,141,H,6:00 PM
Utah Valley,Grand Canyon,-7,137,H,8:00 PM
Evansville,Indiana St.,-6,132,N,2:00 PM
Southern Illinois,Loyola Chicago,-13,119,N,11:00 AM
Louisiana Monroe,South Alabama,-3,131,N,5:30 PM
Troy,UT Arlington,-3,131,N,8:00 PM
Canisius,Siena,-7,137,H,6:00 PM
Stetson,Liberty,-10,136,N,1:00 PM
Sacramento St.,Montana St.,-5,135,H,1:00 PM
Idaho St.,Eastern Washington,-10,140,H,2:05 PM
Eastern Michigan,Western Michigan,-5,133,H,6:00 PM
UC Riverside,Cal St. Northridge,12,146,H,6:00 PM
Middle Tennessee,Florida Atlantic,-9,137,H,5:00 PM
Charlotte,Marshall,-13,139,H,6:00 PM
New Mexico St.,Dixie St.,7,137,H,8:00 PM
Fairfield,Manhattan,-4,122,H,5:00 PM
North Alabama,Liberty,-13,131,N,1:00 PM
Northern Illinois,Central Michigan,-7,145,H,4:00 PM
Cal Poly,UC Santa Barbara,-19,123,H,7:00 PM
Morgan St.,Delaware St.,14,160,H,12:00 PM
Arkansas Pine Bluff,Mississippi Valley St.,10,140,H,7:00 PM
