AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Iowa,Northwestern,5,163,H,8:00 PM
Penn St.,Purdue,-3,139,H,12:00 PM
Memphis,Tulsa,-1,129,H,2:00 PM
Western Kentucky,Marshall,-3,151,H,1:00 PM
Virginia Tech,Wake Forest,4,140,H,5:00 PM
Santa Clara,San Diego,-1,137,H,
Cal St. Bakersfield,Hawaii,2,132,H,
Saint Peter's,Iona,-1,131,H,3:00 PM
Lafayette,Loyola MD,1,153,H,5:00 PM
UCF,Houston,-12,126,H,1:00 PM
Hofstra,Delaware,1,137,H,1:00 PM
Dayton,George Washington,5,143,H,1:30 PM
Northern Iowa,Loyola Chicago,-10,140,H,4:00 PM
Indiana St.,Illinois St.,5,143,H,3:00 PM
Massachusetts,Fordham,5,137,H,3:30 PM
Army,Boston University,1,139,H,12:00 PM
New Hampshire,Stony Brook,-1,133,H,1:00 PM
NJIT,Albany,-3,137,H,2:00 PM
Hartford,UMBC,-4,130,H,12:00 PM
Sacramento St.,Idaho St.,1,125,H,3:00 PM
Cal St. Northridge,Cal St. Fullerton,-3,147,H,
Fresno St.,Nevada,-8,136,H,3:00 PM
Bucknell,Lehigh,-2,140,H,3:00 PM
American,Navy,-6,138,H,11:00 AM
Norfolk St.,Delaware St.,6,154,H,4:00 PM
UMass Lowell,Binghamton,4,140,H,11:00 AM
Evansville,Bradley,-9,119,H,3:00 PM
Tarleton St.,Weber St.,-7,141,H,8:00 PM
William & Mary,Drexel,-10,132,H,12:00 PM
Holy Cross,Colgate,-19,149,H,12:00 PM
Maine,Vermont,-14,118,H,12:00 PM
