AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Minnesota,Iowa,-9,167,H,1:30 PM
Providence,Xavier,-4,140,H,10:00 AM
Bradley,Northern Iowa,1,139,H,3:00 PM
Indiana,Nebraska,5,135,H,5:00 PM
Maryland,Illinois,-11,151,H,7:00 PM
Cincinnati,Wichita St.,-5,143,H,3:30 PM
Notre Dame,Virginia Tech,-5,143,H,5:00 PM
Loyola Chicago,Indiana St.,4,136,H,5:30 PM
Missouri St.,Valparaiso,5,143,H,1:00 PM
Colgate,Boston University,3,147,H,5:00 PM
UMBC,New Hampshire,3,133,H,11:00 AM
Southern Illinois,Indiana St.,-6,140,H,12:00 PM
Hartford,UMass Lowell,-2,132,H,12:00 PM
Gardner Webb,Winthrop,-11,159,H,12:00 PM
UNC Asheville,Hampton,2,146,H,12:00 PM
Campbell,Longwood,-1,133,H,5:00 PM
Marist,Monmouth,-9,145,H,1:00 PM
Illinois St.,Evansville,-4,128,H,1:00 PM
Morgan St.,Norfolk St.,-5,137,H,1:00 PM
Radford,Charleston Southern,1,123,H,3:00 PM
San Jose St.,Fresno St.,-10,152,H,6:00 PM
Bucknell,Lafayette,-11,143,H,5:00 PM
Lehigh,Navy,-8,136,H,2:00 PM
Siena,Fairfield,9,131,H,3:00 PM
Vermont,Binghamton,11,135,H,1:00 PM
Maine,NJIT,-8,128,H,1:00 PM
Holy Cross,Army,-11,143,H,2:00 PM
South Carolina St.,Florida A&M,-17,143,H,1:00 PM
