AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Oklahoma,Texas Tech,-3,135,H,8:00 PM
Georgia Tech,Louisville,-1,135,H,1:00 PM
Bradley,Indiana St.,-2,128,H,4:00 PM
UCF,Memphis,-6,130,H,7:00 PM
East Tennessee St.,Wofford,-2,132,H,6:00 PM
Loyola Chicago,Missouri St.,8,134,H,7:00 PM
Duke,Miami FL,5,137,H,6:00 PM
UMBC,NJIT,1,131,H,1:00 PM
The Citadel,Western Carolina,-5,177,H,11:00 AM
Austin Peay,SIU Edwardsville,1,145,H,2:00 PM
Murray St.,Southeast Missouri St.,3,133,H,6:00 PM
Valparaiso,Evansville,-3,123,H,6:00 PM
St. Francis NY,LIU Brooklyn,-8,160,H,4:00 PM
Illinois St.,Drake,-17,141,H,6:00 PM
Sacramento St.,Eastern Washington,-8,138,H,1:05 PM
Arkansas Pine Bluff,Jackson St.,-11,139,H,7:30 PM
Alabama St.,Prairie View A&M,-15,123,H,7:30 PM
Mississippi Valley St.,Grambling St.,-22,142,H,7:30 PM
