AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Illinois,Rutgers,1,147,H,12:00 PM
Creighton,Connecticut,1,153,H,11:00 AM
Michigan St.,Northwestern,2,150,H,6:00 PM
Saint Louis,Minnesota,4,146,H,7:30 PM
Providence,Seton Hall,2,144,H,3:30 PM
Marquette,Xavier,5,139,H,1:00 PM
Georgetown,St. John's,3,157,H,5:30 PM
Oklahoma St.,Texas,12,142,H,1:00 PM
Colorado,Washington,6,132,N,9:00 PM
Wright St.,Detroit,5,149,H,1:00 PM
Grand Canyon,San Francisco,-6,142,N,6:00 PM
Cleveland St.,Fort Wayne,1,137,H,4:00 PM
Milwaukee,Green Bay,2,146,H,1:00 PM
Marist,Manhattan,1,125,H,1:00 PM
UMBC,Albany,4,138,H,1:00 PM
Oral Roberts,Arkansas,19,153,H,1:00 PM
Weber St.,Portland St.,1,147,H,2:05 PM
Youngstown St.,Northern Kentucky,5,143,H,2:00 PM
Stony Brook,Binghamton,1,135,H,1:00 PM
Robert Morris,Marshall,-15,143,H,1:00 PM
Oakland,Illinois Chicago,7,137,H,4:00 PM
Jackson St.,Iowa St.,14,144,H,12:00 PM
Maine,Hartford,6,128,H,1:00 PM
Alcorn St.,Houston,29,143,H,3:00 PM
Air Force,Nevada,-13,131,H,5:00 PM
Delaware St.,Georgia Tech,24,152,H,5:00 PM
Western Illinois,Tennessee Martin,5,145,H,5:00 PM
Chicago St.,Drake,25,143,H,2:00 PM
