AWAY,HOME,VegasSpread,VegasTotal,Court
Houston,Texas Tech,-3,135,N
Baylor,Washington,6,148,N
South Carolina,Tulsa,-1,139,H
Richmond,Kentucky,-7,149,H
Rhode Island,San Francisco,4,144,N
South Florida,Virginia Tech,-4,130,N
UNC Greensboro,Winthrop,7,147,N
Lipscomb,Tulane,1,141,H
Air Force,Seattle,1,139,N
Hofstra,Rutgers,-16,144,H
Northwestern St.,Louisiana Tech,-12,156,H
North Dakota St.,Creighton,-22,142,H
UMass Lowell,Ohio St.,-26,154,H
Jacksonville St.,South Alabama,-7,137,H
Arkansas St.,Morehead St.,-3,139,H
Boise St.,Sam Houston St.,15,147,N
Oakland,Michigan,-27,147,H
Houston Baptist,Arizona St.,-37,179,H
Prairie View A&M,Louisville,-24,144,H
Mount St. Mary's,Maryland,-18,138,H
North Florida,Miami FL,-26,152,H
Florida A&M,Georgia,-15,141,H
Arkansas Pine Bluff,Iowa St.,-18,152,H
Radford,James Madison,-7,143,H
New Orleans,Texas A&M,-19,143,H
