AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Wisconsin,Rutgers,3,133,H,08:00 PM
Marshall,Western Kentucky,-1,151,H,04:00 PM
Bowling Green,Buffalo,-6,160,H,06:00 PM
UAB,Charlotte,2,128,H,04:00 PM
Cal St. Bakersfield,Hawaii,-1,131,H,10:59 PM
Old Dominion,Rice,2,144,H,02:00 PM
Louisiana Lafayette,UT Arlington,-3,145,H,06:00 PM
Duquesne,St. Bonaventure,-7,133,H,06:00 PM
UTEP,North Texas,-5,133,H,07:00 PM
LIU Brooklyn,Wagner,-1,143,H,06:00 PM
Bryant,St. Francis PA,6,166,H,03:00 PM
Middle Tennessee,Southern Miss,-1,123,H,07:00 PM
Utah Valley,Seattle,-2,136,H,08:00 PM
Youngstown St.,Oakland,-1,153,H,06:00 PM
Cleveland St.,Wright St.,-9,131,H,06:00 PM
Hofstra,Delaware,3,139,H,12:00 PM
Texas St.,Little Rock,-6,134,H,06:30 PM
Fresno St.,Nevada,-7,137,H,10:00 PM
Appalachian St.,South Alabama,-2,136,H,06:00 PM
UTSA,Louisiana Tech,-9,149,H,06:30 PM
Niagara,Manhattan,1,125,H,03:00 PM
Fort Wayne,Milwaukee,-6,150,H,06:00 PM
Robert Morris,Illinois Chicago,-4,138,H,07:00 PM
UC San Diego,UC Santa Barbara,-6,144,H,07:00 PM
Louisiana Monroe,Arkansas St.,-1,133,H,06:00 PM
IUPUI,Northern Kentucky,-3,139,H,05:00 PM
Green Bay,Detroit,-5,151,H,06:00 PM
Hampton,USC Upstate,-2,142,H,05:00 PM
Liberty,Stetson,7,135,H,06:00 PM
North Alabama,Kennesaw St.,2,132,H,05:00 PM
Cal St. Northridge,Long Beach St.,-7,161,H,06:00 PM
UMKC,Western Illinois,2,128,H,07:00 PM
North Dakota St.,North Dakota,4,124,H,07:30 PM
Longwood,Winthrop,-14,154,H,05:00 PM
Siena,Rider,7,143,H,06:00 PM
Troy,Georgia Southern,-4,130,H,05:00 PM
Merrimack,Mount St. Mary's,-4,120,H,03:00 PM
Quinnipiac,Monmouth,-13,147,H,04:00 PM
North Florida,Lipscomb,-6,140,H,07:00 PM
Bellarmine,Florida Gulf Coast,-6,134,H,06:00 PM
Dixie St.,UT Rio Grande Valley,-9,147,H,07:00 PM
UC Riverside,Cal Poly,9,131,H,06:00 PM
Tarleton St.,Cal Baptist,-8,148,H,08:00 PM
Oral Roberts,Denver,13,157,H,01:00 PM
Fairfield,Marist,-6,120,H,04:00 PM
Charleston Southern,UNC Asheville,-13,137,H,01:00 PM
Presbyterian,Campbell,-10,130,H,06:00 PM
