AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Gonzaga,Iowa,5,177,N,11:00 AM
Ohio St.,UCLA,1,137,N,3:15 PM
Kentucky,North Carolina,1,139,N,1:00 PM
Notre Dame,Purdue,1,139,N,1:30 PM
Cincinnati,Georgia,1,141,H,7:00 PM
Furman,Winthrop,2,152,H,3:00 PM
Louisville,Wisconsin,6,134,H,11:00 AM
Western Kentucky,Alabama,5,155,H,1:00 PM
Arizona,Stanford,5,137,H,7:00 PM
Mississippi,Dayton,4,130,H,1:30 PM
Butler,Indiana,7,131,N,10:30 AM
Wright St.,Detroit,2,148,H,1:00 PM
Baylor,Kansas St.,10,136,H,3:00 PM
Saint Peter's,Monmouth,3,141,H,4:00 PM
Colorado St.,Saint Mary's,-7,141,H,7:00 PM
Buffalo,Syracuse,-14,146,H,5:00 PM
Milwaukee,Green Bay,1,149,H,1:00 PM
UCF,Florida St.,-15,137,H,8:00 PM
Drexel,Fairleigh Dickinson,3,145,H,1:00 PM
Ball St.,Indiana St.,7,137,H,12:00 PM
Saint Joseph's,Villanova,-18,156,H,
Middle Tennessee,Bellarmine,1,137,H,6:00 PM
IUPUI,Fort Wayne,2,144,H,6:00 PM
The Citadel,Longwood,2,150,H,11:30 AM
Youngstown St.,Northern Kentucky,3,143,H,1:00 PM
Iona,Rider,2,146,H,6:00 PM
UNC Greensboro,Elon,5,137,H,12:00 PM
UMBC,Albany,4,138,H,3:00 PM
Rice,Sam Houston St.,-2,146,H,2:00 PM
Marist,Manhattan,2,128,H,1:00 PM
Valparaiso,Toledo,9,141,H,1:00 PM
UC Santa Barbara,Pepperdine,-9,149,H,5:00 PM
Stony Brook,Binghamton,1,137,H,1:00 PM
Chattanooga,UAB,-11,143,H,2:00 PM
Hofstra,St. Bonaventure,12,144,H,1:00 PM
Northwestern St.,Missouri St.,11,159,H,7:00 PM
Georgia Southern,FIU,-9,145,H,6:00 PM
James Madison,East Carolina,9,145,H,12:00 PM
Miami OH,Bradley,10,134,H,7:00 PM
High Point,William & Mary,-3,145,H,1:00 PM
Portland,Oregon,-23,149,H,
Campbell,North Carolina St.,-18,142,H,3:00 PM
Delaware,La Salle,8,136,H,3:30 PM
Oakland,Illinois Chicago,8,136,H,6:00 PM
Grambling St.,Tulane,7,129,H,1:00 PM
Troy,Auburn,12,138,H,1:00 PM
South Alabama,Alabama A&M,5,143,H,2:00 PM
Eastern Washington,Northern Arizona,10,146,H,1:00 PM
Jacksonville,Miami FL,18,140,H,2:30 PM
Coppin St.,Virginia Tech,19,137,H,4:30 PM
Lamar,Louisiana Tech,-13,135,H,1:00 PM
Maine,Hartford,5,129,H,1:00 PM
McNeese St.,Louisiana Lafayette,10,152,H,6:00 PM
Fairfield,Niagara,6,128,H,3:00 PM
Samford,Kennesaw St.,6,148,H,3:30 PM
Louisiana Monroe,Southern Miss,-5,125,H,1:00 PM
Cal Poly,Loyola Marymount,-12,142,H,8:00 PM
North Carolina A&T,Charlotte,-11,133,H,3:00 PM
Texas St.,Denver,9,135,H,7:00 PM
Houston Baptist,Oklahoma,-36,166,H,4:00 PM
Idaho St.,Utah Valley,-6,136,H,3:00 PM
Cal St. Northridge,California,-13,139,H,11:00 PM
Radford,Vanderbilt,12,128,H,7:00 PM
