AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Michigan St.,Minnesota,-1,161,H,7:00 PM
Colorado,Arizona,1,139,H,8:30 PM
Missouri St.,Northern Iowa,-1,147,H,7:00 PM
Drake,Indiana St.,1,141,H,4:00 PM
Maryland,Wisconsin,-11,135,H,6:00 PM
Canisius,Monmouth,-5,157,H,1:00 PM
UC Santa Barbara,UC Irvine,-5,135,H,6:00 PM
Fresno St.,Colorado St.,-7,141,H,7:00 PM
UMass Lowell,Stony Brook,-3,137,H,1:00 PM
Hartford,New Hampshire,-3,133,H,12:00 PM
NJIT,Vermont,-11,139,H,1:00 PM
Illinois St.,Loyola Chicago,-16,144,H,6:00 PM
New Mexico St.,Cal St. Northridge,13,139,H,
Evansville,Southern Illinois,-10,124,H,5:00 PM
Binghamton,UMBC,-13,137,H,12:00 PM
