AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Texas Tech,Oklahoma St.,-1,137,H,8:00 PM
Syracuse,Duke,-5,153,H,6:00 PM
Oregon,USC,-7,137,H,8:00 PM
Pepperdine,Saint Mary's,-5,129,H,5:00 PM
Eastern Kentucky,Southeast Missouri St.,2,150,H,2:00 PM
Valparaiso,Southern Illinois,-2,128,H,6:00 PM
VMI,Furman,-9,155,H,6:00 PM
Texas St.,Arkansas St.,3,131,H,6:00 PM
The Citadel,Mercer,-7,167,H,6:00 PM
Little Rock,Louisiana Monroe,-1,131,H,4:00 PM
UNC Greensboro,Western Carolina,6,140,H,4:00 PM
UT Arlington,Louisiana Lafayette,-7,149,H,5:00 PM
Grambling St.,Jackson St.,-3,131,H,4:30 PM
New Mexico,Air Force,-1,119,H,8:30 PM
Houston Baptist,Northwestern St.,-4,156,H,6:30 PM
Alabama A&M,Alcorn St.,1,133,H,7:30 PM
William & Mary,Elon,-4,132,H,6:00 PM
Evansville,Drake,-13,135,H,6:00 PM
Gardner Webb,USC Upstate,7,143,H,5:00 PM
Central Arkansas,New Orleans,-7,159,H,7:00 PM
Morehead St.,SIU Edwardsville,8,130,H,5:00 PM
Southeastern Louisiana,Texas A&M Corpus Chris,-3,137,H,6:30 PM
Sam Houston St.,Lamar,9,145,H,7:00 PM
Charleston Southern,Presbyterian,-4,128,H,5:00 PM
North Alabama,Liberty,-14,132,H,11:00 AM
