AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
Creighton,Villanova,-2,146,H,7:30 PM,2.9
Connecticut,Seton Hall,-1,133,H,5:30 PM,5.5
Providence,St. John's,-2,152,H,6:00 PM,-1.0
Clemson,Syracuse,-1,133,H,4:00 PM,11.5
Missouri,Florida,-4,144,H,5:30 PM,0.3
Minnesota,Penn St.,-3,149,H,6:00 PM,-2.3
North Carolina St.,Notre Dame,-2,146,H,6:00 PM,10.7
UCLA,Oregon,-2,134,H,8:00 PM,-5.7
Maryland,Northwestern,2,132,H,8:00 PM,16.4
Stanford,USC,-6,136,H,9:30 PM,6.5
Abilene Christian,Stephen F. Austin,2,144,H,8:00 PM,3.0
Saint Joseph's,La Salle,1,153,N,10:00 AM,9.7
Oregon St.,Utah,-5,133,H,6:00 PM,8.4
Wichita St.,Tulane,4,132,H,5:00 PM,2.8
Mississippi St.,Texas A&M,4,118,H,7:30 PM,0.1
Boston College,Florida St.,-19,159,H,8:00 PM,-6.2
San Diego St.,UNLV,12,130,H,8:00 PM,14.3
Florida A&M,North Carolina Central,1,123,H,6:00 PM,5.1
Incarnate Word,Houston Baptist,-1,141,H,6:30 PM,2.1
Northwestern St.,New Orleans,-5,155,H,7:00 PM,-5.4
Southeast Missouri St.,Morehead St.,-7,127,N,9:30 PM,11.7
Idaho St.,Eastern Washington,-12,142,H,8:05 PM,-9.9
Fordham,George Washington,-5,125,N,1:00 PM,-8.8
Merrimack,Wagner,-6,124,H,3:00 PM,-0.7
New Mexico,Colorado St.,-16,130,H,7:00 PM,5.2
SIU Edwardsville,Belmont,-16,148,N,7:00 PM,-8.0
Lehigh,Boston University,-6,140,H,6:00 PM,-8.3
Southeastern Louisiana,Central Arkansas,-5,151,H,7:00 PM,-0.1
Texas A&M Corpus Chris,Sam Houston St.,-16,142,H,6:30 PM,1.0
South Carolina St.,North Carolina A&T,-13,149,H,5:00 PM,5.6
