AWAY,HOME,VegasSpread,VegasTotal,Court,Time
DePaul,Providence,-3,147,H,03:30 PM
Drake,Indiana St.,-1,141,H,12:00 PM
Missouri St.,Northern Iowa,-7,149,H,03:00 PM
UC Santa Barbara,UC Irvine,-3,135,H,06:00 PM
Canisius,Monmouth,-4,158,H,01:00 PM
UMass Lowell,Stony Brook,1,139,H,04:00 PM
Robert Morris,Fort Wayne,1,141,H,04:00 PM
Hartford,New Hampshire,-4,132,H,12:00 PM
Illinois St.,Loyola Chicago,-15,143,H,03:00 PM
NJIT,Vermont,-10,134,H,02:00 PM
Youngstown St.,Cleveland St.,-5,143,H,12:00 PM
Oakland,Detroit,-7,153,H,03:00 PM
Green Bay,Wright St.,-14,142,H,01:00 PM
Evansville,Southern Illinois,-10,126,H,03:00 PM
Alcorn St.,Vanderbilt,-17,147,H,03:00 PM
Binghamton,UMBC,-14,136,H,12:00 PM
