AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Minnesota,Michigan,-7,151,H,7:30 PM
Seton Hall,Creighton,-6,148,H,8:00 PM
Arkansas,Tennessee,-7,139,H,6:00 PM
Rhode Island,Richmond,-4,146,H,5:00 PM
Oklahoma,Baylor,-13,153,H,8:00 PM
Virginia Tech,Louisville,-4,132,H,5:30 PM
Tulsa,South Florida,-2,124,H,3:00 PM
Pittsburgh,Syracuse,-9,145,H,3:30 PM
St. John's,Xavier,-9,159,H,7:00 PM
Georgetown,Butler,-3,139,H,6:00 PM
Georgia,LSU,-10,158,H,6:00 PM
Texas A&M,South Carolina,-5,137,H,8:00 PM
Auburn,Mississippi,-7,137,H,8:00 PM
VCU,George Mason,6,136,H,6:00 PM
Wichita St.,Houston,-10,134,H,7:00 PM
UNC Greensboro,Wofford,-2,136,H,6:00 PM
Massachusetts,George Washington,4,160,H,5:00 PM
Boston College,Duke,-12,152,H,7:30 PM
Saint Joseph's,St. Bonaventure,-10,156,H,3:00 PM
Samford,Chattanooga,-6,156,H,6:00 PM
Sam Houston St.,Southeastern Louisiana,1,145,H,7:00 PM
Wake Forest,Virginia,-13,125,H,8:00 PM
Utah St.,New Mexico,10,136,H,9:00 PM
Incarnate Word,Northwestern St.,-5,151,H,6:30 PM
Lamar,Nicholls St.,-7,141,H,7:00 PM
New Orleans,Central Arkansas,-10,152,H,7:00 PM
Air Force,Boise St.,-17,127,H,10:00 PM
