AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
Illinois,Ohio St.,-2,152,H,3:00 PM,0.6
LSU,Missouri,-2,156,H,2:00 PM,-1.5
Seton Hall,St. John's,-1,153,H,6:00 PM,-7.0
Duke,North Carolina,-2,150,H,5:00 PM,5.8
Saint Louis,St. Bonaventure,1,133,N,5:00 PM,0.5
Rutgers,Minnesota,-1,141,H,11:00 AM,5.7
USC,UCLA,2,132,H,3:00 PM,2.0
Oklahoma St.,West Virginia,-5,149,H,1:00 PM,-4.6
Mississippi St.,Auburn,-1,137,H,12:00 PM,8.5
Xavier,Marquette,-2,142,H,8:00 PM,-6.1
Villanova,Providence,3,137,H,1:30 PM,-5.0
Virginia,Louisville,2,118,H,3:00 PM,-8.9
Alabama,Georgia,9,159,H,1:00 PM,-11.2
Florida St.,Notre Dame,8,154,H,11:00 AM,10.5
Indiana,Purdue,-6,132,H,1:00 PM,-9.6
Arizona St.,Utah,-4,150,H,1:00 PM,12.9
Davidson,VCU,-4,132,H,8:00 PM,4.1
Missouri St.,Drake,-3,143,N,3:00 PM,14.8
Georgetown,Connecticut,-7,135,H,11:00 AM,5.4
Loyola Marymount,Saint Mary's,-2,120,N,8:00 PM,6.2
Mercer,Wofford,-1,143,N,4:30 PM,8.5
Pittsburgh,Clemson,-5,129,H,11:00 AM,-7.9
East Tennessee St.,Chattanooga,1,131,N,1:30 PM,-18.0
Southern Utah,Portland St.,-1,143,H,2:05 PM,-0.1
Vanderbilt,Mississippi,-6,136,H,6:00 PM,0.8
UAB,North Texas,-4,122,H,4:00 PM,-2.8
Stephen F. Austin,Sam Houston St.,-3,151,H,5:00 PM,-3.5
South Carolina,Kentucky,-10,148,H,11:00 AM,-19.7
Morehead St.,Belmont,-4,136,N,7:00 PM,-2.3
UNLV,Wyoming,-1,147,H,10:00 PM,-13.2
Iowa St.,Kansas St.,-1,131,H,4:00 PM,-5.6
VMI,Furman,-5,153,N,7:00 PM,6.5
Hawaii,UC Davis,1,139,H,6:00 PM,-1.1
Seattle,Cal Baptist,-2,152,H,8:00 PM,7.4
South Alabama,Louisiana Lafayette,-1,147,N,5:00 PM,7.0
Butler,Creighton,-12,132,H,4:00 PM,0.4
Cal St. Fullerton,UC San Diego,-1,157,H,7:00 PM,1.4
Indiana St.,Loyola Chicago,-9,121,N,12:00 PM,12.5
Texas A&M,Arkansas,-14,134,H,4:00 PM,-6.5
Tarleton St.,UT Rio Grande Valley,1,127,H,7:00 PM,20.2
Old Dominion,Western Kentucky,-8,136,H,4:00 PM,5.3
Utah St.,Fresno St.,10,130,H,10:00 PM,-9.5
UC Irvine,Long Beach St.,6,138,H,6:00 PM,-13.8
Bucknell,Lafayette,-3,155,H,1:00 PM,16.6
Arkansas St.,Georgia St.,-5,149,N,5:30 PM,4.1
Utah Valley,Grand Canyon,-6,134,H,8:00 PM,4.5
The Citadel,UNC Greensboro,-8,154,N,11:00 AM,-0.2
American,Army,-4,132,H,2:00 PM,9.2
South Florida,Wichita St.,-12,138,H,12:00 PM,-23.6
Hartford,Vermont,-7,131,H,3:00 PM,2.4
Northern Colorado,Weber St.,-9,145,H,1:00 PM,7.0
Towson,Elon,-3,133,N,2:00 PM,-23.9
Loyola MD,Navy,-8,132,H,11:00 AM,-4.3
Appalachian St.,Texas St.,-4,120,N,8:00 PM,-7.9
UMass Lowell,UMBC,-7,139,H,1:00 PM,1.3
Troy,Coastal Carolina,-5,137,N,7:30 PM,5.4
Lamar,McNeese St.,-1,143,H,4:00 PM,-4.4
Western Illinois,South Dakota,-9,155,N,8:45 PM,13.4
Mount St. Mary's,Wagner,-3,117,H,1:00 PM,-1.7
Central Arkansas,Northwestern St.,-4,158,H,1:00 PM,1.0
UNC Wilmington,William & Mary,5,149,N,6:00 PM,-4.5
Sacramento St.,Montana St.,-5,137,H,12:00 PM,3.4
UC Riverside,Cal St. Northridge,11,145,H,6:00 PM,1.7
Southern,Texas Southern,-7,143,H,7:30 PM,-3.4
Boston University,Colgate,-15,149,H,12:00 PM,4.1
Sacred Heart,Bryant,-11,155,H,11:00 AM,-1.2
Charlotte,Marshall,-13,139,H,1:00 PM,-11.9
Nebraska Omaha,South Dakota St.,-14,156,N,5:45 PM,-0.0
New Mexico St.,Dixie St.,7,139,H,8:00 PM,-2.6
Texas A&M Corpus Chris,Houston Baptist,-5,143,H,5:00 PM,7.4
Cal Poly,UC Santa Barbara,-19,125,H,7:00 PM,5.2
Incarnate Word,Abilene Christian,-16,130,H,3:00 PM,-7.5
Southeastern Louisiana,New Orleans,-10,150,H,7:00 PM,-12.9
Alabama A&M,Grambling St.,-7,125,H,8:00 PM,-1.1
Alcorn St.,Prairie View A&M,-11,133,H,2:30 PM,4.3
Morgan St.,Delaware St.,14,160,H,4:00 PM,8.5
