AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Alabama,Oklahoma,1,153,H,11:00 AM
Arkansas,Oklahoma St.,-3,153,H,3:00 PM
Texas Tech,LSU,2,148,H,1:00 PM
Wisconsin,Penn St.,2,136,H,2:00 PM
Villanova,Seton Hall,1,143,H,2:00 PM
Minnesota,Purdue,-3,139,H,6:30 PM
Florida St.,Georgia Tech,4,146,H,3:00 PM
Florida,West Virginia,-4,148,H,1:00 PM
Stanford,Arizona St.,3,149,H,9:00 PM
Kansas,Tennessee,-4,126,H,5:00 PM
Clemson,Duke,-1,131,H,11:00 AM
Rhode Island,Dayton,-1,131,H,3:00 PM
St. Bonaventure,Davidson,-1,129,H,1:00 PM
Virginia,Virginia Tech,4,120,H,5:00 PM
Providence,Georgetown,2,138,H,11:00 AM
Mississippi,Georgia,3,139,H,5:00 PM
Auburn,Baylor,-18,154,H,3:00 PM
South Carolina,Vanderbilt,2,154,H,7:30 PM
Creighton,DePaul,7,149,H,7:00 PM
Gonzaga,Pepperdine,20,166,H,7:00 PM
Notre Dame,Pittsburgh,-4,144,H,7:00 PM
Xavier,Butler,4,130,H,
Bradley,Indiana St.,-1,129,H,
Hofstra,UNC Wilmington,-1,145,H,12:00 PM
Toledo,Bowling Green,5,155,H,4:00 PM
Utah,Colorado,-9,137,H,8:30 PM
UCF,Wichita St.,-4,134,H,3:00 PM
Belmont,Murray St.,3,149,H,7:30 PM
Colgate,Army,3,147,H,4:00 PM
Northern Iowa,Southern Illinois,-1,145,H,3:00 PM
Tulsa,East Carolina,2,124,H,11:00 AM
Loyola Marymount,San Diego,3,131,H,4:00 PM
TCU,Missouri,-10,136,H,1:00 PM
Miami FL,Wake Forest,-4,136,H,1:00 PM
Texas A&M,Kansas St.,-1,121,H,11:00 AM
Ball St.,Akron,-4,144,H,1:00 PM
LIU Brooklyn,St. Francis NY,1,155,H,3:00 PM
Morgan St.,Coppin St.,2,156,H,2:00 PM
Louisiana Lafayette,Texas St.,-2,126,H,4:00 PM
Milwaukee,IUPUI,1,145,H,2:00 PM
Oakland,Fort Wayne,-2,160,H,4:00 PM
Mercer,Wofford,-4,148,H,3:00 PM
North Alabama,North Florida,1,147,H,4:00 PM
Iowa St.,Mississippi St.,-7,135,H,5:00 PM
UMBC,NJIT,2,130,H,1:00 PM
Hartford,Stony Brook,-1,127,H,1:00 PM
Stetson,Florida Gulf Coast,-1,135,H,
VMI,UNC Greensboro,-5,147,H,6:00 PM
Detroit,Youngstown St.,1,151,H,4:00 PM
Furman,Western Carolina,7,155,H,
Iona,Marist,1,129,H,12:00 PM
North Dakota St.,UMKC,1,119,H,7:00 PM
Pacific,BYU,-10,130,H,
George Mason,St. Bonaventure,-8,126,H,
Bryant,Fairleigh Dickinson,7,171,H,6:00 PM
California,Arizona,-13,141,H,4:00 PM
Monmouth,Niagara,4,146,H,3:00 PM
Oregon St.,UCLA,-11,133,H,6:00 PM
Appalachian St.,Troy,2,128,H,4:00 PM
UT Arlington,Arkansas St.,2,148,H,4:00 PM
UTSA,UTEP,-6,152,H,8:00 PM
Saint Joseph's,Duquesne,-8,146,H,6:00 PM
Illinois Chicago,Northern Kentucky,-2,132,H,4:00 PM
La Salle,VCU,-14,136,H,12:00 PM
Coastal Carolina,Georgia Southern,4,140,H,2:00 PM
Bucknell,Lehigh,-2,140,H,1:00 PM
Siena,Marist,4,128,H,12:00 PM
Cal St. Northridge,Cal Poly,1,145,H,6:00 PM
Wyoming,San Diego St.,-20,146,H,9:00 PM
The Citadel,East Tennessee St.,-10,156,H,3:00 PM
Quinnipiac,Canisius,-5,137,H,12:00 PM
Northwestern St.,Central Arkansas,-4,158,H,4:00 PM
Southern,Alcorn St.,3,143,H,3:30 PM
Green Bay,Cleveland St.,-6,132,H,6:00 PM
UC Santa Barbara,UC Davis,10,140,H,11:00 PM
SIU Edwardsville,Tennessee Martin,1,143,H,4:00 PM
Eastern Illinois,Southeast Missouri St.,-3,137,H,5:00 PM
Western Illinois,North Dakota,-3,139,H,7:30 PM
Air Force,San Jose St.,1,139,N,5:00 PM
New Orleans,Southeastern Louisiana,2,144,H,4:00 PM
Central Michigan,Kent St.,-15,161,H,3:00 PM
Houston Baptist,Texas A&M Corpus Chris,-2,142,H,3:30 PM
High Point,Gardner Webb,-8,136,H,
FIU,Charlotte,-8,128,H,3:00 PM
Southern Miss,Louisiana Tech,-10,126,H,2:00 PM
Western Michigan,Miami OH,-8,132,H,1:00 PM
Cal St. Fullerton,Cal St. Bakersfield,-9,133,H,9:00 PM
Stony Brook,Vermont,-11,131,H,
Merrimack,Wagner,-4,126,H,6:00 PM
William & Mary,Towson,-5,137,H,12:00 PM
Robert Morris,Wright St.,-18,144,H,6:00 PM
Morehead St.,Tennessee Tech,6,128,H,4:00 PM
Colgate,Holy Cross,13,157,H,
Central Connecticut,St. Francis PA,-5,147,H,6:00 PM
New Mexico,Fresno St.,-5,119,H,6:00 PM
Manhattan,Saint Peter's,-7,115,H,7:00 PM
Tennessee St.,Austin Peay,-7,135,H,4:00 PM
Alabama A&M,Prairie View A&M,-6,132,H,3:00 PM
Abilene Christian,Incarnate Word,10,126,H,6:30 PM
McNeese St.,Lamar,-4,150,H,4:30 PM
Nebraska Omaha,South Dakota,-15,143,H,11:00 PM
New Hampshire,Binghamton,4,136,H,1:00 PM
Longwood,Presbyterian,4,120,H,3:00 PM
Tarleton St.,Utah Valley,-9,141,H,7:00 PM
Liberty,Jacksonville,11,129,H,5:00 PM
Sacred Heart,Mount St. Mary's,-7,123,H,1:00 PM
Louisiana Monroe,Little Rock,-9,133,H,4:00 PM
Bellarmine,Kennesaw St.,6,126,H,3:00 PM
Weber St.,Idaho,10,144,H,2:00 PM
Dixie St.,Cal Baptist,-11,155,H,8:00 PM
Delaware St.,Norfolk St.,-10,154,H,3:30 PM
Charleston Southern,Campbell,-10,132,H,
Arkansas Pine Bluff,Grambling St.,-9,139,H,5:30 PM
