AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
Saint Mary's,Gonzaga,-15,137,N,8:00 PM,-5.8
Pepperdine,BYU,-8,148,N,10:59 PM,-1.2
Mercer,UNC Greensboro,-1,139,N,6:00 PM,11.4
North Dakota St.,South Dakota,-1,139,N,8:45 PM,6.1
Oral Roberts,South Dakota St.,-3,167,N,5:45 PM,-0.7
Drexel,Northeastern,1,129,N,8:30 PM,10.6
Northern Kentucky,Oakland,1,149,N,8:30 PM,14.3
Elon,Hofstra,-3,137,N,5:00 PM,21.4
Milwaukee,Cleveland St.,-4,138,N,5:30 PM,7.0
Appalachian St.,Georgia St.,-5,141,N,6:00 PM,-7.3
