AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
Oklahoma,Oklahoma St.,-2,140,H,8:00 PM,0.4
North Carolina,Syracuse,-1,151,H,6:00 PM,13.3
Arizona,Oregon,-1,143,H,8:00 PM,1.8
Rutgers,Nebraska,4,136,H,6:00 PM,-8.1
Washington St.,Arizona St.,-3,145,H,2:00 PM,-5.1
Massachusetts,Saint Louis,-8,146,H,5:00 PM,4.2
Dayton,St. Bonaventure,-7,129,H,4:00 PM,-2.9
Gardner Webb,Campbell,1,137,H,6:00 PM,-2.8
Quinnipiac,Marist,-2,128,H,5:00 PM,-2.5
Saint Joseph's,Richmond,-16,156,H,5:00 PM,-2.0
New Orleans,Incarnate Word,-1,139,H,7:15 PM,6.0
Longwood,UNC Asheville,-3,135,H,6:00 PM,8.8
Miami FL,Virginia,-14,122,H,5:00 PM,4.9
Northwestern St.,Nicholls St.,-8,152,H,,2.7
High Point,Winthrop,-13,145,H,5:00 PM,2.2
Sam Houston St.,Houston Baptist,9,153,H,,3.1
Texas Southern,Alabama A&M,6,134,H,7:30 PM,6.5
Stephen F. Austin,Central Arkansas,11,159,H,3:00 PM,7.3
FIU,Western Kentucky,-18,146,H,12:00 PM,-16.7
Hampton,Radford,-7,135,H,5:00 PM,2.5
Air Force,Colorado St.,-16,132,H,9:00 PM,5.4
Texas A&M Corpus Chris,Lamar,-5,137,H,7:00 PM,-3.6
Jackson St.,Arkansas Pine Bluff,7,131,H,7:30 PM,8.5
Prairie View A&M,Alabama St.,12,130,H,8:00 PM,0.7
