AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Loyola Marymount,UC Santa Barbara,1,143,H,07:00 PM
Chattanooga,Middle Tennessee,-2,142,H,06:00 PM
Lipscomb,Southeast Missouri St.,2,144,H,06:30 PM
UNC Wilmington,East Carolina,-8,140,H,04:00 PM
Wofford,Richmond,-16,146,H,01:00 PM
George Washington,UMBC,-7,141,H,03:00 PM
Fairfield,Hartford,-3,129,H,03:00 PM
Florida Atlantic,North Florida,5,139,H,06:00 PM
North Carolina Central,Coastal Carolina,-9,147,H,05:00 PM
Morehead St.,Eastern Kentucky,-12,146,H,06:00 PM
Northern Arizona,Arizona,-18,144,H,08:00 PM
Hampton,Norfolk St.,-13,145,H,06:00 PM
South Carolina St.,Charlotte,-21,141,H,05:00 PM
