AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Texas,Oklahoma,-2,140,H,11:00 PM
Utah St.,Boise St.,1,137,H,08:00 PM
Minnesota,Indiana,-3,139,H,08:00 PM
Richmond,VCU,-3,145,H,06:00 PM
Syracuse,Louisville,-3,139,H,05:30 PM
North Carolina St.,Pittsburgh,-2,144,H,03:30 PM
Duke,Wake Forest,3,145,H,07:30 PM
Kentucky,Vanderbilt,1,139,H,06:00 PM
Marquette,Butler,1,127,H,05:30 PM
UNC Greensboro,VMI,1,145,H,06:00 PM
South Carolina,Tennessee,-12,142,H,08:00 PM
Arizona St.,USC,-13,147,H,07:00 PM
Nebraska,Maryland,-8,132,H,06:00 PM
South Florida,UCF,-3,129,H,06:00 PM
Missouri St.,Southern Illinois,3,137,H,08:15 PM
DePaul,Seton Hall,-11,137,H,07:30 PM
Drake,Northern Iowa,6,142,H,07:00 PM
Iona,Quinnipiac,2,136,H,03:00 PM
Northeastern,North Carolina,-10,134,H,06:00 PM
Gardner Webb,Radford,-3,131,H,05:00 PM
Mercer,East Tennessee St.,-6,140,H,06:00 PM
Kansas,Kansas St.,10,134,H,07:00 PM
Wagner,Mount St. Mary's,-2,116,H,03:00 PM
The Citadel,Wofford,-8,160,H,06:00 PM
Samford,Furman,-13,153,H,06:00 PM
Boston University,Holy Cross,-2,142,H,04:00 PM
Wyoming,New Mexico,4,136,N,07:00 PM
St. Francis NY,Fairleigh Dickinson,-6,166,H,06:00 PM
Valparaiso,Loyola Chicago,-18,124,H,07:00 PM
Illinois St.,Bradley,-8,134,H,
Western Carolina,Chattanooga,-9,143,H,06:00 PM
Coppin St.,Delaware St.,6,162,H,
Evansville,Indiana St.,-8,128,H,04:00 PM
Southeastern Louisiana,Texas A&M Corpus Chris,-2,136,H,07:30 PM
