AWAY,HOME,VegasSpread,VegasTotal,Court
Wisconsin,Marquette,3,137,H
Oregon,Seton Hall,5,145,N
South Dakota St.,Bradley,-1,137,H
North Texas,Mississippi St.,1,133,H
Duquesne,Winthrop,5,151,N
Georgia St.,Charlotte,2,142,H
Toledo,Eastern Michigan,-2,134,H
Long Beach St.,Loyola Marymount,-7,151,H
UT Arlington,Tulsa,-6,128,H
Fairfield,Stony Brook,-1,129,H
Detroit,Michigan St.,-23,157,H
Saint Peter's,Maryland,-11,133,H
Valparaiso,Purdue,-13,137,H
South Alabama,Auburn,-9,143,H
Jacksonville St.,FIU,-8,140,H
Stetson,Miami FL,-19,147,H
Troy,Texas Tech,-25,141,H
Jacksonville,Georgia,-11,139,H
Central Arkansas,Memphis,-21,149,H
San Francisco,Cal Poly,11,145,H
Bellarmine,Duke,-27,149,H
Kent St.,Virginia,-22,124,H
Central Connecticut,Hartford,-5,141,H
Southeastern Louisiana,Cal Baptist,-7,149,H
North Dakota,Minnesota,-24,144,H
Florida A&M,South Florida,-14,136,H
Kennesaw St.,Creighton,-32,146,H
