AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
Colorado,Florida St.,-0.4,145,N,6:45 PM,9.1
USC,Kansas,-1.8,132,N,8:40 PM,-6.7
LSU,Michigan,-5.3,154,N,6:10 PM,18.5
Maryland,Alabama,-3.4,137,N,7:45 PM,12.9
Oklahoma,Gonzaga,-13.6,157,N,1:40 PM,-2.0
Oregon,Iowa,-7.6,155,N,11:10 AM,5.6
Ohio,Creighton,-5.2,149,N,5:10 PM,17.1
Abilene Christian,UCLA,-5.3,132,N,4:15 PM,5.9
Coastal Carolina,Bryant,-2.7,159,,1:30 PM,-5.5
Bellarmine,Army,-1.2,141,,7:30 PM,7.8
Stetson,Bowling Green,-5.5,154,,10:30 AM,-2.0
Longwood,Pepperdine,-9.7,143,,4:30 PM,-1.8
