AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Kansas,Texas Tech,5,133,H,6:00 PM
North Carolina St.,Saint Louis,6,144,H,7:00 PM
Creighton,St. John's,6,162,H,6:00 PM
Seton Hall,Marquette,4,142,H,8:00 PM
Saint Joseph's,Drexel,-1,151,H,5:00 PM
San Francisco,Oregon,10,146,H,7:00 PM
FIU,Florida Gulf Coast,2,142,H,
UC Irvine,Loyola Marymount,-5,143,H,8:00 PM
Nebraska Omaha,Wyoming,-12,146,H,8:00 PM
North Dakota,Southern Illinois,6,132,H,1:00 PM
LIU Brooklyn,Sacred Heart,6,146,H,3:00 PM
Wagner,Bryant,-11,153,H,3:00 PM
Jackson St.,Bradley,13,133,H,7:00 PM
Delaware St.,Coastal Carolina,15,163,H,5:00 PM
Dixie St.,Southern Utah,-15,147,H,8:00 PM
Houston Baptist,North Texas,-27,151,H,7:00 PM
