AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Iowa,Illinois,-2,168,H,8:00 PM
Saint Louis,Richmond,-1,153,H,5:30 PM
Boise St.,Colorado St.,-2,142,H,10:00 PM
Ohio,Buffalo,-2,164,H,6:00 PM
New Mexico St.,Grand Canyon,1,127,H,8:00 PM
North Texas,Rice,4,136,H,2:00 PM
UC Irvine,Hawaii,5,139,H,10:59 PM
Detroit,Youngstown St.,1,153,H,4:00 PM
Louisiana Lafayette,Texas St.,-3,127,H,4:00 PM
Milwaukee,IUPUI,2,146,H,5:00 PM
North Alabama,North Florida,-1,145,H,6:00 PM
Monmouth,Niagara,3,147,H,3:00 PM
Stetson,Florida Gulf Coast,-1,137,H,6:00 PM
Oakland,Fort Wayne,-3,163,H,6:30 PM
Illinois Chicago,Northern Kentucky,-1,131,H,5:00 PM
Coastal Carolina,Georgia Southern,3,141,H,7:30 PM
North Dakota St.,UMKC,1,117,H,7:00 PM
UT Arlington,Arkansas St.,3,151,H,6:00 PM
Cal St. Northridge,Cal Poly,1,147,H,6:00 PM
UNC Asheville,Winthrop,-12,160,H,5:00 PM
Appalachian St.,Troy,2,128,H,6:00 PM
Green Bay,Cleveland St.,-6,130,H,6:00 PM
FIU,Charlotte,-7,133,H,5:00 PM
Robert Morris,Wright St.,-19,145,H,8:00 PM
Nebraska Omaha,South Dakota,-11,143,H,7:00 PM
Western Illinois,North Dakota,-4,136,H,7:30 PM
Manhattan,Saint Peter's,-7,117,H,7:00 PM
High Point,Gardner Webb,-9,139,H,6:00 PM
Bellarmine,Kennesaw St.,3,123,H,5:00 PM
Cal St. Fullerton,Cal St. Bakersfield,-10,126,H,10:00 PM
Tarleton St.,Utah Valley,-8,144,H,7:00 PM
Longwood,Presbyterian,5,123,H,5:00 PM
Liberty,Jacksonville,12,132,H,6:00 PM
South Dakota St.,Denver,17,161,H,8:00 PM
Dixie St.,Cal Baptist,-10,154,H,8:00 PM
Louisiana Monroe,Little Rock,-10,134,H,6:30 PM
Charleston Southern,Campbell,-11,133,H,6:30 PM
Northern Arizona,Northern Colorado,-10,132,H,7:00 PM
