AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Marquette,UCLA,6,142,H,8:30 PM
Dayton,Mississippi St.,1,133,N,
St. John's,Seton Hall,-6,154,H,3:30 PM
Nevada,Grand Canyon,1,139,H,8:00 PM
Villanova,Georgetown,8,142,H,6:00 PM
Nebraska,Creighton,12,150,H,6:00 PM
North Texas,West Virginia,11,141,H,2:00 PM
Iowa St.,Iowa,13,165,H,8:00 PM
Murray St.,Southern Illinois,5,133,H,6:30 PM
George Washington,Delaware,-2,150,H,
Iona,Fairfield,2,138,H,6:00 PM
Marist,Canisius,5,139,H,6:00 PM
Nebraska Omaha,Kansas,21,145,H,6:00 PM
Appalachian St.,Charlotte,7,131,H,4:00 PM
Niagara,Saint Peter's,7,139,H,7:00 PM
Georgia Southern,Davidson,14,138,H,6:00 PM
High Point,UNC Asheville,6,144,H,4:00 PM
Milwaukee,Kansas St.,12,134,H,7:00 PM
San Jose St.,Saint Mary's,-18,146,H,9:00 PM
North Dakota St.,South Dakota,6,132,N,8:00 PM
North Dakota,South Dakota St.,15,151,N,5:30 PM
Rider,Manhattan,7,137,H,5:00 PM
Cal St. Fullerton,San Diego,-13,135,H,
