AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Villanova,Texas,-5,137,H,12:00 PM
Xavier,Cincinnati,-1,133,H,02:00 PM
Missouri,Wichita St.,2,140,H,01:00 PM
DePaul,Iowa St.,2,152,H,05:00 PM
Seton Hall,Penn St.,-3,149,H,07:00 PM
Oklahoma,TCU,3,133,H,03:00 PM
Georgia Tech,Kentucky,-5,141,N,04:00 PM
West Virginia,Georgetown,11,149,H,03:30 PM
Buffalo,Bowling Green,-4,152,H,05:00 PM
Louisiana Tech,LSU,-8,152,H,05:00 PM
Pepperdine,San Diego St.,-7,145,H,03:30 PM
Wyoming,Oregon St.,-3,137,H,03:00 PM
California,UCLA,-8,136,H,07:00 PM
UCF,Michigan,-14,140,H,03:00 PM
Stanford,North Carolina A&T,14,142,H,
Detroit,Notre Dame,-15,157,H,06:00 PM
Cleveland St.,Ohio,-10,142,H,01:00 PM
Jacksonville St.,FIU,-8,140,H,01:00 PM
Bellarmine,Howard,1,149,H,05:00 PM
New Hampshire,Quinnipiac,4,138,H,01:00 PM
Western Michigan,Michigan St.,-23,143,H,05:00 PM
Tennessee Tech,Western Carolina,-9,149,H,11:00 AM
Stetson,Florida,-21,141,H,01:00 PM
Seattle,Long Beach St.,-7,145,H,03:00 PM
UC Riverside,Denver,6,136,H,02:00 PM
Stony Brook,St. John's,-18,144,H,01:30 PM
Central Arkansas,Little Rock,-12,152,H,02:00 PM
UT Rio Grande Valley,Texas A&M,-14,136,H,03:00 PM
Grambling St.,Texas Tech,-26,132,H,01:00 PM
Louisiana Monroe,Northwestern St.,-8,148,H,02:00 PM
Troy,UAB,-15,143,H,02:00 PM
Coppin St.,Drexel,-12,146,H,01:00 PM
Central Michigan,Western Illinois,7,155,H,02:30 PM
Binghamton,Marist,-10,136,H,03:00 PM
