AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Mississippi,Alabama,1,143,H,8:00 PM
Florida St.,Clemson,-2,130,H,6:00 PM
Northwestern,Iowa,-7,161,H,8:00 PM
Purdue,Rutgers,-4,138,H,6:00 PM
Miami FL,Virginia Tech,-4,134,H,5:00 PM
South Florida,Memphis,-6,138,H,6:00 PM
Houston,Tulsa,7,123,H,8:00 PM
Texas A&M,LSU,-8,144,H,6:00 PM
Wofford,Mercer,-3,147,H,6:00 PM
Santa Clara,USC,-11,137,H,
Central Arkansas,Baylor,-31,159,H,3:00 PM
Northeastern,West Virginia,-16,136,H,1:00 PM
Coppin St.,Rider,-3,145,H,6:00 PM
Towson,Iona,-3,139,H,2:00 PM
Southeastern Louisiana,Lamar,-3,135,H,7:00 PM
Central Michigan,Eastern Michigan,-10,150,H,6:00 PM
Nebraska Omaha,Kansas St.,-13,137,H,7:00 PM
Incarnate Word,Texas Tech,-25,133,H,6:00 PM
