AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Florida St.,Louisville,1,143,H,06:00 PM
Kansas,Baylor,-11,143,H,08:00 PM
Saint Joseph's,La Salle,-1,147,H,03:00 PM
Western Carolina,Samford,1,167,H,02:00 PM
St. John's,Connecticut,-12,148,H,01:30 PM
UNC Wilmington,Towson,1,143,H,01:00 PM
Wyoming,Air Force,1,137,H,08:00 PM
VMI,East Tennessee St.,-5,141,H,06:00 PM
Sacramento St.,Idaho St.,-1,121,H,02:00 PM
Grambling St.,Prairie View A&M,-2,138,H,07:30 PM
The Citadel,UNC Greensboro,-9,161,H,06:00 PM
Arkansas Pine Bluff,Alcorn St.,-1,153,H,07:30 PM
Jackson St.,Texas Southern,-6,138,H,07:30 PM
New Mexico,UNLV,-12,138,H,08:30 PM
