AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Purdue,Michigan St.,-2,142,H,6:00 PM
Little Rock,Louisiana Lafayette,2,152,H,6:00 PM
Louisiana Tech,Western Kentucky,-6,146,H,7:00 PM
FIU,Middle Tennessee,3,149,H,6:00 PM
Dayton,Davidson,-5,127,H,8:00 PM
Long Beach St.,Cal St. Fullerton,1,151,H,7:00 PM
Cal Baptist,Utah Valley,-1,151,H,7:00 PM
North Texas,UTSA,8,146,H,6:00 PM
Lipscomb,Bellarmine,1,139,H,6:00 PM
Stetson,North Alabama,-1,143,H,6:00 PM
Detroit,Milwaukee,-3,147,H,11:00 AM
South Dakota,UMKC,1,127,H,7:00 PM
Illinois Chicago,Fort Wayne,3,141,H,6:00 PM
South Alabama,Coastal Carolina,-5,155,H,5:00 PM
Mount St. Mary's,St. Francis NY,1,135,H,3:00 PM
UT Arlington,Louisiana Monroe,3,133,H,6:00 PM
St. Francis PA,LIU Brooklyn,-4,156,H,3:00 PM
Robert Morris,IUPUI,-3,145,H,11:00 AM
Manhattan,Quinnipiac,-2,132,H,3:00 PM
Northern Kentucky,Cleveland St.,-5,135,H,6:00 PM
IUPUI,Milwaukee,-6,144,H,
Oakland,Green Bay,-4,150,H,4:00 PM
Hawaii,UC Riverside,-7,133,H,6:00 PM
Georgia Southern,Appalachian St.,-4,130,H,5:00 PM
Florida Atlantic,Old Dominion,-9,137,H,6:00 PM
Rice,UTEP,-10,142,H,8:00 PM
Utah St.,New Mexico,12,134,H,10:00 PM
Southern Miss,UAB,-12,132,H,6:30 PM
Georgia St.,Troy,9,137,H,6:00 PM
Nebraska Omaha,North Dakota St.,-7,131,H,7:30 PM
Youngstown St.,Wright St.,-13,145,H,6:00 PM
Central Connecticut,Bryant,-16,172,H,3:00 PM
San Jose St.,Fresno St.,-11,155,H,8:00 PM
North Dakota,Oral Roberts,-11,147,H,7:30 PM
Air Force,Boise St.,-17,129,H,7:00 PM
Rider,Niagara,-8,138,H,3:00 PM
Western Illinois,South Dakota St.,-21,157,H,7:30 PM
Fairfield,Saint Peter's,-10,122,H,7:00 PM
Grand Canyon,Tarleton St.,12,140,H,7:00 PM
Cal Poly,Cal St. Bakersfield,-10,132,H,9:00 PM
Kennesaw St.,North Florida,-7,137,H,6:00 PM
Sacred Heart,Merrimack,-7,129,H,3:00 PM
