AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Tennessee,Missouri,1,131,H,8:00 PM
North Carolina,Georgia Tech,1,143,H,7:00 PM
Richmond,Davidson,-2,144,H,6:00 PM
Penn St.,Indiana,-4,138,H,7:30 PM
Seton Hall,Xavier,-4,142,H,6:00 PM
Arkansas,Auburn,4,142,H,6:00 PM
St. Bonaventure,Rhode Island,-2,142,H,3:00 PM
DePaul,Connecticut,-5,147,H,8:00 PM
Mississippi St.,Georgia,-2,138,H,6:00 PM
Murray St.,Belmont,-2,146,H,6:00 PM
Virginia,Notre Dame,4,128,H,5:00 PM
Bowling Green,Kent St.,-1,155,H,
VCU,Saint Joseph's,8,158,H,11:00 AM
Duquesne,Saint Louis,-10,144,H,6:00 PM
Nebraska,Ohio St.,-9,143,H,5:30 PM
Butler,Providence,-5,137,H,4:00 PM
Western Carolina,East Tennessee St.,-1,141,H,6:00 PM
George Mason,Massachusetts,-4,152,H,5:00 PM
Boston College,North Carolina St.,-12,154,H,7:00 PM
Furman,Chattanooga,5,143,H,12:00 PM
Florida,Vanderbilt,9,137,H,8:00 PM
VMI,Samford,-1,155,H,7:00 PM
Bowling Green,Ohio,-7,155,H,1:00 PM
Eastern Illinois,Eastern Kentucky,-5,151,H,7:00 PM
SMU,Temple,8,140,H,1:00 PM
Austin Peay,Tennessee St.,2,142,H,8:00 PM
UNC Greensboro,The Citadel,7,155,H,6:00 PM
UNC Asheville,Longwood,2,140,H,2:00 PM
Portland,Seattle,-2,140,H,8:00 PM
La Salle,Dayton,-9,129,H,6:00 PM
Fresno St.,Colorado St.,-8,138,H,3:00 PM
Southeast Missouri St.,Tennessee Tech,-2,140,H,8:00 PM
Tulane,UCF,-10,130,H,6:00 PM
Campbell,Winthrop,-13,149,H,2:00 PM
Gardner Webb,Hampton,4,144,H,1:00 PM
Manhattan,Delaware St.,4,146,H,
George Washington,Fordham,-9,135,H,12:00 PM
USC Upstate,High Point,-7,151,H,5:00 PM
Sacramento St.,Saint Mary's,-12,120,H,9:00 PM
Prairie View A&M,TCU,-19,141,H,7:00 PM
Radford,Presbyterian,5,125,H,4:00 PM
Tennessee Martin,Jacksonville St.,-14,136,H,7:30 PM
