AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif
Texas,Oklahoma,-1,141,H,8:00 PM,-3.1
Oklahoma St.,Baylor,-11,149,H,6:00 PM,7.2
Vanderbilt,Cincinnati,-1,149,H,6:00 PM,6.8
Rhode Island,Dayton,-2,134,N,2:30 PM,-13.7
Duquesne,Richmond,-4,142,N,10:00 AM,8.7
UCF,East Carolina,1,133,H,8:00 PM,1.0
Nebraska,Iowa,-15,153,H,8:00 PM,9.2
Michigan St.,Michigan,-13,139,H,6:00 PM,7.8
Austin Peay,Eastern Kentucky,-1,157,N,9:30 PM,2.0
Arizona St.,Colorado,-12,150,H,8:00 PM,7.4
Murray St.,Jacksonville St.,1,137,N,7:00 PM,-4.7
Southern Utah,Portland St.,-1,145,H,9:05 PM,-3.8
Saint Joseph's,Massachusetts,-6,154,N,12:00 PM,7.8
San Diego,San Francisco,-4,142,N,8:00 PM,15.8
Saint Peter's,Quinnipiac,-1,123,H,3:00 PM,-9.2
TCU,West Virginia,-13,145,H,6:00 PM,-3.1
Illinois St.,Northern Iowa,-3,143,N,8:00 PM,3.5
Southern Illinois,Bradley,-2,128,N,5:00 PM,11.4
UTEP,Kansas,-14,134,H,7:00 PM,-1.3
Monmouth,Rider,4,160,H,3:00 PM,-7.2
Iowa St.,Texas Tech,-15,135,H,6:00 PM,2.4
George Washington,George Mason,-6,138,N,4:30 PM,-9.9
Wyoming,Utah St.,-16,150,H,8:30 PM,9.6
Campbell,Radford,-2,122,H,5:00 PM,14.3
North Alabama,North Florida,-1,145,N,1:00 PM,-9.2
Canisius,Siena,-5,137,H,6:00 PM,6.1
Stetson,Bellarmine,-5,143,N,6:00 PM,-16.2
Florida A&M,North Carolina Central,1,121,H,6:00 PM,1.4
Longwood,Winthrop,-11,141,H,6:30 PM,6.3
Northern Colorado,Weber St.,-9,149,H,8:00 PM,3.8
Florida Gulf Coast,Lipscomb,-4,136,N,6:00 PM,6.6
Middle Tennessee,Florida Atlantic,-6,138,H,5:00 PM,3.6
Nicholls St.,McNeese St.,6,152,H,6:30 PM,-10.8
Southern,Prairie View A&M,-8,134,H,7:30 PM,1.4
Portland,Santa Clara,-11,145,N,10:59 PM,-13.8
Fairfield,Manhattan,-4,122,H,5:00 PM,4.9
Kennesaw St.,Liberty,-15,127,N,1:00 PM,1.9
Alabama A&M,Jackson St.,-8,120,H,7:30 PM,-8.6
Morgan St.,Delaware St.,13,161,H,2:00 PM,7.1
Alcorn St.,Texas Southern,-12,142,H,7:30 PM,-6.2
Alabama St.,Grambling St.,-9,133,H,7:30 PM,4.7
