Team,AdjEM,AdjOE,AdjDE
Gonzaga,37.60000000000001,126.7,89.1
Baylor,30.799999999999997,122.2,91.4
Michigan,28.60000000000001,120.7,92.1
Houston,27.200000000000003,116.7,89.5
Iowa,27.80000000000001,126.4,98.6
Florida St.,25.900000000000006,120.9,95.0
Ohio St.,25.900000000000006,124.0,98.1
Alabama,22.400000000000006,112.5,90.1
Illinois,22.799999999999997,116.1,93.3
Virginia,22.5,116.1,93.6
Wisconsin,21.0,111.0,90.0
San Diego St.,21.0,112.6,91.6
Villanova,22.19999999999999,120.6,98.4
USC,20.5,113.2,92.7
Loyola Chicago,19.799999999999997,109.2,89.4
Creighton,20.400000000000006,116.2,95.8
Texas,20.0,114.2,94.2
West Virginia,20.599999999999994,117.5,96.9
Colorado,19.400000000000006,113.9,94.5
Tennessee,18.200000000000003,109.0,90.8
Texas Tech,18.599999999999994,112.1,93.5
BYU,18.5,112.3,93.8
Florida,18.400000000000006,111.9,93.5
Oklahoma,18.099999999999994,110.8,92.7
Kansas,17.89999999999999,109.8,91.9
Purdue,18.0,111.8,93.8
Georgia Tech,18.299999999999997,114.2,95.9
Arkansas,17.799999999999997,111.2,93.4
Duke,18.0,117.1,99.1
Connecticut,16.900000000000006,111.5,94.6
Rutgers,16.299999999999997,108.5,92.2
Arizona,17.19999999999999,114.6,97.4
Oklahoma St.,15.899999999999991,107.8,91.9
LSU,17.299999999999997,119.0,101.7
Memphis,15.0,103.4,88.4
Utah St.,15.400000000000006,106.9,91.5
Maryland,15.600000000000009,110.2,94.6
Seton Hall,15.899999999999991,112.6,96.7
North Carolina,15.299999999999997,108.8,93.5
Missouri,15.699999999999989,112.1,96.4
Kentucky,14.899999999999991,107.8,92.9
Indiana,15.299999999999997,111.1,95.8
VCU,14.399999999999991,105.3,90.9
Penn St.,15.199999999999989,112.1,96.9
Richmond,14.600000000000009,113.4,98.8
Mississippi,13.5,105.8,92.3
Stanford,13.5,106.0,92.5
Xavier,14.0,110.3,96.3
Minnesota,14.099999999999994,111.3,97.2
SMU,13.899999999999991,110.3,96.4
Team,0.0,0.0,0.0
Saint Louis,13.700000000000003,109.0,95.3
UCLA,13.599999999999994,111.8,98.2
Virginia Tech,13.299999999999997,109.6,96.3
Clemson,12.799999999999997,105.3,92.5
St. Bonaventure,13.399999999999991,110.8,97.4
Notre Dame,13.5,114.3,100.8
Louisville,12.700000000000003,107.8,95.1
Boise St.,12.900000000000006,110.5,97.6
Michigan St.,12.099999999999994,107.3,95.2
Mississippi St.,12.100000000000009,106.9,94.8
Oregon,12.099999999999994,108.8,96.7
Wichita St.,12.200000000000003,111.4,99.2
North Carolina St.,11.900000000000006,110.4,98.5
Syracuse,11.900000000000006,111.0,99.1
UC Santa Barbara,11.599999999999994,108.1,96.5
Wright St.,11.5,108.3,96.8
Providence,11.600000000000009,108.7,97.1
Toledo,12.200000000000003,114.9,102.7
North Texas,11.0,104.9,93.9
Drake,11.400000000000006,111.4,100.0
St. John's,11.299999999999997,111.1,99.8
Marquette,10.799999999999997,108.6,97.8
Auburn,11.0,110.5,99.5
Saint Mary's,10.0,103.0,93.0
Utah,10.700000000000003,109.4,98.7
Buffalo,10.299999999999997,108.2,97.9
Davidson,10.400000000000006,112.4,102.0
Dayton,9.900000000000006,108.0,98.1
Georgetown,9.700000000000003,106.4,96.7
Colorado St.,9.599999999999994,106.0,96.4
Belmont,9.900000000000006,110.9,101.0
Colgate,9.800000000000011,109.9,100.1
Northwestern,9.300000000000011,105.9,96.6
Pittsburgh,9.199999999999989,108.6,99.4
Western Kentucky,8.900000000000006,106.7,97.8
Georgia,8.799999999999997,109.5,100.7
Marshall,8.799999999999997,111.0,102.2
Washington St.,8.0,103.3,95.3
Massachusetts,8.100000000000009,104.9,96.8
Furman,8.299999999999997,109.0,100.7
Arizona St.,8.200000000000003,108.9,100.7
Louisiana Tech,7.599999999999994,102.5,94.9
Ohio,8.300000000000011,111.9,103.6
Vanderbilt,7.799999999999997,110.7,102.9
Pepperdine,7.5,106.6,99.1
UAB,7.1000000000000085,102.4,95.3
Missouri St.,7.299999999999997,106.2,98.9
Liberty,7.299999999999997,107.5,100.2
