Team,AdjEM,AdjOE,AdjDE
Gonzaga,29.39999999999999,120.3,90.9
Purdue,27.5,119.9,92.4
Houston,25.799999999999997,112.5,86.7
Villanova,25.900000000000006,118.2,92.3
Kansas,25.5,119.7,94.2
Baylor,24.200000000000003,115.7,91.5
Texas,23.19999999999999,113.1,89.9
Alabama,22.200000000000003,113.4,91.2
UCLA,22.10000000000001,114.7,92.6
Arizona,21.299999999999997,111.5,90.2
Duke,21.700000000000003,113.7,92.0
LSU,20.19999999999999,109.6,89.4
USC,20.200000000000003,110.8,90.6
Auburn,19.400000000000006,110.5,91.1
Illinois,19.599999999999994,113.3,93.7
Michigan St.,18.10000000000001,106.2,88.1
Michigan,18.5,109.6,91.1
Tennessee,17.700000000000003,106.7,89.0
Indiana,16.799999999999997,106.5,89.7
Connecticut,17.400000000000006,111.4,94.0
Ohio St.,17.900000000000006,114.5,96.6
Memphis,16.5,107.4,90.9
Texas Tech,16.30000000000001,106.9,90.6
BYU,16.60000000000001,108.7,92.1
Florida,16.299999999999997,107.2,90.9
Iowa,17.5,116.3,98.8
Kentucky,16.599999999999994,111.5,94.9
Xavier,16.099999999999994,108.1,92.0
Seton Hall,15.5,107.6,92.1
Wisconsin,15.200000000000003,106.8,91.6
Oklahoma,15.0,106.3,91.3
North Carolina,16.0,113.9,97.9
Loyola Chicago,15.299999999999997,110.5,95.2
Virginia Tech,14.599999999999994,107.8,93.2
Louisville,14.200000000000003,105.4,91.2
Washington St.,14.199999999999989,106.6,92.4
Arkansas,14.599999999999994,109.6,95.0
San Francisco,14.200000000000003,107.5,93.3
Florida St.,13.899999999999991,105.8,91.9
Oklahoma St.,13.400000000000006,101.7,88.3
Providence,14.299999999999997,110.6,96.3
Colorado St.,14.300000000000011,114.4,100.1
Utah St.,13.400000000000006,108.4,95.0
West Virginia,12.5,107.4,94.9
UCF,12.5,107.7,95.2
Northwestern,12.200000000000003,106.8,94.6
Cincinnati,11.599999999999994,101.5,89.9
Saint Mary's,11.5,101.2,89.7
Mississippi St.,12.299999999999997,108.2,95.9
Belmont,12.400000000000006,108.9,96.5
Team,0.0,0.0,0.0
Wake Forest,12.200000000000003,108.8,96.6
UAB,11.599999999999994,108.6,97.0
Clemson,11.400000000000006,107.4,96.0
St. Bonaventure,11.300000000000011,107.9,96.6
South Dakota St.,11.800000000000011,114.4,102.6
San Diego St.,10.299999999999997,100.8,90.5
Boise St.,10.399999999999991,102.1,91.7
Wyoming,10.700000000000003,108.7,98.0
Drake,10.700000000000003,108.9,98.2
Richmond,10.700000000000003,109.8,99.1
Murray St.,10.200000000000003,106.4,96.2
Ohio,10.299999999999997,107.0,96.7
Wichita St.,9.5,100.4,90.9
Oregon,10.100000000000009,108.4,98.3
Syracuse,10.199999999999989,111.6,101.4
Santa Clara,10.0,110.2,100.2
Notre Dame,10.0,109.4,99.4
Rhode Island,9.200000000000003,104.3,95.1
Maryland,9.0,102.6,93.6
Mississippi,8.599999999999994,101.5,92.9
Chattanooga,9.199999999999989,107.6,98.4
St. John's,9.099999999999994,107.0,97.9
Texas A&M,8.699999999999989,103.1,94.4
Iowa St.,8.5,102.1,93.6
Utah,8.799999999999997,106.6,97.8
Minnesota,8.299999999999997,101.5,93.2
VCU,7.400000000000006,93.4,86.0
Virginia,8.200000000000003,102.9,94.7
Davidson,8.399999999999991,107.6,99.2
Iona,8.100000000000009,103.2,95.1
Saint Louis,8.299999999999997,105.7,97.4
Louisiana Tech,8.400000000000006,107.7,99.3
UC Irvine,7.799999999999997,100.3,92.5
Fresno St.,8.0,103.3,95.3
Kansas St.,7.400000000000006,99.9,92.5
Missouri St.,8.100000000000009,108.7,100.6
TCU,7.3999999999999915,103.3,95.9
North Texas,7.200000000000003,100.3,93.1
SMU,7.700000000000003,107.5,99.8
DePaul,7.599999999999994,107.5,99.9
Buffalo,7.6000000000000085,108.2,100.6
Georgia Tech,6.8999999999999915,104.1,97.2
Creighton,7.0,104.7,97.7
Boston College,6.900000000000006,103.9,97.0
Liberty,6.900000000000006,104.2,97.3
North Carolina St.,7.0,107.2,100.2
Nevada,6.8999999999999915,106.3,99.4
Marquette,6.799999999999997,103.6,96.8
Vanderbilt,6.599999999999994,102.1,95.5
Miami FL,6.900000000000006,109.4,102.5
Team,0.0,0.0,0.0
Oakland,6.200000000000003,101.0,94.8
Stanford,6.099999999999994,103.3,97.2
Grand Canyon,6.1000000000000085,104.7,98.6
Penn St.,5.800000000000011,102.9,97.1
New Mexico St.,6.099999999999994,109.3,103.2
Colgate,6.0,109.3,103.3
Dayton,5.599999999999994,103.5,97.9
Weber St.,5.6000000000000085,103.4,97.8
George Mason,5.3999999999999915,104.3,98.9
Monmouth,5.400000000000006,103.4,98.0
Vermont,5.1000000000000085,101.7,96.6
Navy,5.1000000000000085,100.7,95.6
Colorado,5.200000000000003,104.7,99.5
Miami OH,5.299999999999997,107.0,101.7
Hofstra,5.400000000000006,109.7,104.3
Jacksonville St.,5.1000000000000085,103.2,98.1
UC Riverside,4.900000000000006,101.5,96.6
Northern Iowa,4.6000000000000085,104.4,99.8
Rutgers,4.3999999999999915,99.3,94.9
Northeastern,4.099999999999994,97.5,93.4
South Alabama,4.099999999999994,104.3,100.2
Cleveland St.,4.0,104.7,100.7
Towson,4.0,104.9,100.9
Eastern Kentucky,4.0,106.6,102.6
Furman,3.8999999999999915,107.1,103.2
Texas St.,3.799999999999997,103.0,99.2
Butler,3.6000000000000085,100.4,96.8
East Tennessee St.,3.4000000000000057,100.9,97.5
California,3.299999999999997,100.5,97.2
UC Santa Barbara,3.4000000000000057,106.4,103.0
Toledo,3.299999999999997,106.0,102.7
Loyola Marymount,3.299999999999997,105.2,101.9
Arizona St.,3.1000000000000085,99.7,96.6
Nebraska,2.8999999999999915,101.1,98.2
Abilene Christian,2.799999999999997,98.7,95.9
East Carolina,3.0,104.1,101.1
Temple,2.799999999999997,102.8,100.0
Southern Illinois,2.6999999999999886,101.6,98.9
Delaware,2.799999999999997,106.0,103.2
Campbell,2.700000000000003,103.9,101.2
Georgia St.,2.5999999999999943,107.0,104.4
Marshall,2.4000000000000057,106.4,104.0
Wofford,2.299999999999997,105.8,103.5
Wagner,2.3000000000000114,103.9,101.6
James Madison,2.1000000000000085,99.9,97.8
Western Illinois,2.200000000000003,103.7,101.5
Utah Valley,2.0,100.7,98.7
College of Charleston,2.0999999999999943,103.3,101.2
Stephen F. Austin,2.0,102.3,100.3
Western Kentucky,2.0999999999999943,102.1,100.0
Team,0.0,0.0,0.0
Morehead St.,2.0,102.8,100.8
South Carolina,1.9000000000000057,96.4,94.5
Seattle,1.6999999999999886,102.6,100.9
Washington,1.7000000000000028,99.7,98.0
Massachusetts,1.7999999999999972,114.1,112.3
Princeton,1.5999999999999943,106.1,104.5
San Diego,1.4000000000000057,97.4,96.0
Akron,1.3999999999999915,101.8,100.4
Brown,1.2999999999999972,98.3,97.0
Appalachian St.,1.2000000000000028,100.4,99.2
Montana St.,1.2000000000000028,103.5,102.3
Kent St.,0.9000000000000057,103.2,102.3
Yale,0.9000000000000057,100.2,99.3
Southern Utah,0.6999999999999886,103.6,102.9
Boston University,0.6000000000000085,103.7,103.1
