Team,AdjEM,AdjOE,AdjDE
Gonzaga,34.0,123.4,89.4
Houston,30.10000000000001,118.9,88.8
Purdue,29.39999999999999,128.1,98.7
Kentucky,26.89999999999999,118.1,91.2
Arizona,25.0,115.2,90.2
Kansas,26.0,120.4,94.4
Villanova,25.39999999999999,117.8,92.4
Baylor,25.10000000000001,116.7,91.6
Auburn,24.700000000000003,115.5,90.8
Duke,24.5,116.4,91.9
Texas Tech,22.19999999999999,109.1,86.9
Texas,22.200000000000003,111.4,89.2
Illinois,22.799999999999997,115.3,92.5
UCLA,22.5,114.9,92.4
Tennessee,20.900000000000006,110.7,89.8
Indiana,17.60000000000001,107.4,89.8
Washington St.,17.5,108.7,91.2
Wisconsin,17.60000000000001,111.2,93.6
Arkansas,17.0,109.3,92.3
LSU,16.099999999999994,103.6,87.5
Ohio St.,18.10000000000001,118.4,100.3
Connecticut,17.10000000000001,113.2,96.1
Iowa,17.39999999999999,115.8,98.4
Saint Mary's,16.400000000000006,109.5,93.1
Alabama,17.30000000000001,116.4,99.1
Marquette,16.299999999999997,110.1,93.8
Wake Forest,16.099999999999994,110.3,94.2
Boise St.,15.100000000000009,103.9,88.8
Oklahoma,15.899999999999991,109.3,93.4
Michigan St.,16.299999999999997,112.3,96.0
Xavier,16.099999999999994,111.5,95.4
Providence,15.700000000000003,110.4,94.7
Virginia Tech,16.39999999999999,116.3,99.9
Iowa St.,14.600000000000009,103.7,89.1
San Francisco,15.299999999999997,108.8,93.5
Michigan,16.099999999999994,114.8,98.7
Oregon,15.899999999999991,113.3,97.4
Fresno St.,14.900000000000006,107.5,92.6
Saint Louis,14.699999999999989,109.6,94.9
Florida,14.799999999999997,110.3,95.5
Murray St.,14.799999999999997,110.6,95.8
Dayton,14.200000000000003,108.3,94.1
Utah St.,14.599999999999994,111.8,97.2
San Diego St.,12.700000000000003,97.4,84.7
Oklahoma St.,13.700000000000003,105.2,91.5
North Texas,14.0,108.3,94.3
Mississippi St.,14.5,112.7,98.2
North Carolina,14.400000000000006,113.0,98.6
Memphis,13.899999999999991,109.1,95.2
TCU,13.400000000000006,106.7,93.3
Team,0.0,0.0,0.0
Seton Hall,13.5,108.0,94.5
West Virginia,13.200000000000003,106.9,93.7
UAB,13.399999999999991,110.6,97.2
Loyola Chicago,13.299999999999997,110.0,96.7
Northwestern,13.299999999999997,110.3,97.0
SMU,13.099999999999994,111.6,98.5
USC,12.700000000000003,109.8,97.1
Syracuse,13.5,116.9,103.4
Kansas St.,12.099999999999994,106.6,94.5
Wyoming,12.799999999999997,113.0,100.2
Missouri St.,12.600000000000009,112.4,99.8
Wichita St.,11.399999999999991,102.8,91.4
Notre Dame,12.0,108.6,96.6
Colorado St.,12.400000000000006,112.9,100.5
BYU,11.5,106.8,95.3
Belmont,12.0,113.0,101.0
Miami FL,11.700000000000003,113.8,102.1
Furman,11.199999999999989,111.1,99.9
Cincinnati,10.200000000000003,103.9,93.7
Toledo,10.900000000000006,110.4,99.5
Santa Clara,10.799999999999997,111.1,100.3
Virginia,10.599999999999994,109.1,98.5
Tulane,10.599999999999994,109.5,98.9
VCU,9.299999999999997,96.7,87.4
Clemson,10.5,109.6,99.1
Davidson,11.0,116.8,105.8
Bradley,9.899999999999991,106.3,96.4
Creighton,9.599999999999994,103.1,93.5
South Dakota St.,10.700000000000003,115.5,104.8
St. John's,10.0,109.1,99.1
Mississippi,9.700000000000003,105.8,96.1
Texas A&M,9.799999999999997,108.1,98.3
Vanderbilt,9.299999999999997,105.0,95.7
Vermont,9.900000000000006,112.4,102.5
Ohio,9.099999999999994,105.6,96.5
Florida St.,9.0,105.2,96.2
Chattanooga,9.299999999999997,109.3,100.0
Iona,9.099999999999994,108.3,99.2
Liberty,9.0,108.8,99.8
Maryland,8.5,106.9,98.4
UCF,8.5,107.5,99.0
Penn St.,8.099999999999994,103.5,95.4
UNLV,8.400000000000006,108.9,100.5
Louisiana Tech,8.199999999999989,108.1,99.9
Northern Iowa,8.200000000000003,107.5,99.3
Rutgers,7.699999999999989,104.1,96.4
Grand Canyon,7.599999999999994,103.0,95.4
Towson,8.0,109.7,101.7
Richmond,7.699999999999989,107.6,99.9
New Mexico St.,7.099999999999994,104.5,97.4
Team,0.0,0.0,0.0
George Mason,7.099999999999994,107.6,100.5
Drake,6.799999999999997,107.1,100.3
Colorado,6.5,102.0,95.5
Minnesota,6.299999999999997,107.0,100.7
DePaul,6.0,104.8,98.8
Hofstra,6.099999999999994,108.3,102.2
Stanford,5.799999999999997,104.3,98.5
Utah,5.700000000000003,107.5,101.8
St. Bonaventure,5.5,108.1,102.6
Florida Atlantic,5.5,107.1,101.6
Morehead St.,5.099999999999994,104.8,99.7
North Carolina St.,5.299999999999997,109.8,104.5
Middle Tennessee,4.799999999999997,105.1,100.3
Western Kentucky,4.5,107.2,102.7
Wofford,4.5,107.5,103.0
Wagner,4.200000000000003,102.2,98.0
South Carolina,4.0,99.5,95.5
Utah Valley,4.200000000000003,103.7,99.5
Gardner Webb,3.4000000000000057,97.4,94.0
Temple,3.3999999999999915,100.8,97.4
Louisville,3.5,102.9,99.4
Montana St.,3.5,102.9,99.4
Stephen F. Austin,3.200000000000003,100.0,96.8
Georgia Tech,3.0999999999999943,100.1,97.0
Rhode Island,3.0,98.4,95.4
Saint Joseph's,3.200000000000003,103.5,100.3
Buffalo,3.200000000000003,105.3,102.1
Arizona St.,2.9000000000000057,98.7,95.8
Delaware,3.1000000000000085,108.7,105.6
