AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Oral Roberts,South Dakota,1,145,H,7:00 PM
Northern Arizona,Gonzaga,-34,152,H,8:00 PM
UMKC,South Dakota St.,-14,152,H,7:00 PM
Western Illinois,Denver,7,139,H,8:00 PM
Eastern Michigan,Valparaiso,-7,137,H,6:00 PM
Alcorn St.,Baylor,-30,140,H,6:00 PM
Louisiana Monroe,Lamar,5,139,H,7:00 PM
Charleston Southern,Manhattan,-4,146,N,6:15 PM
Western Carolina,Georgia,-11,145,H,6:00 PM
South Carolina St.,The Citadel,-14,158,H,4:00 PM
Stetson,Miami FL,-15,139,H,6:00 PM
Western Michigan,Notre Dame,-18,140,H,7:00 PM
St. Thomas,Nebraska Omaha,7,151,H,7:00 PM
Maryland Eastern Shore,Charlotte,-15,137,H,6:00 PM
Delaware St.,Wagner,-21,139,H,6:00 PM
