AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
South Dakota St.,Missouri St.,-3,159,H,06:00 PM,-8.8,-0.4
Utah St.,Weber St.,3,141,H,08:00 PM,8.8,12.5
Akron,Wright St.,-2,142,H,06:00 PM,6.9,6.3
Chattanooga,Belmont,-6,136,H,05:00 PM,1.4,1.9
UCF,Temple,5,133,H,06:00 PM,2.2,8.3
Marshall,Ohio,-8,152,H,06:00 PM,4.5,1.7
UC Irvine,USC,-11,125,H,08:00 PM,6.3,4.0
Winthrop,Elon,2,158,H,06:00 PM,8.8,3.8
New Mexico St.,Washington St.,-10,134,H,09:00 PM,-10.7,-1.7
Northern Colorado,Arizona,-22,154,H,08:00 PM,-10.3,-6.7
Morehead St.,Xavier,-16,138,H,07:30 PM,-3.9,-11.4
Middle Tennessee,Mississippi,-7,131,H,06:30 PM,16.5,20.9
Bellarmine,South Dakota,-3,137,H,07:00 PM,2.7,-1.3
Howard,Georgetown,-9,159,H,05:30 PM,-2.3,11.7
Florida Atlantic,VCU,-9,123,H,06:00 PM,-0.3,9.2
UC San Diego,Denver,2,134,H,08:00 PM,-2.2,1.6
Georgia Southern,Campbell,-6,122,H,06:00 PM,-4.7,-5.8
Lipscomb,Florida St.,-16,142,H,08:00 PM,2.8,-1.4
FIU,Jacksonville St.,-8,126,H,06:00 PM,8.9,10.0
Alabama St.,UCLA,-33,153,H,10:00 PM,-2.5,-4.5
Cal St. Bakersfield,Abilene Christian,-9,127,H,07:30 PM,-14.7,-16.7
Nicholls St.,Wisconsin,-18,136,H,07:00 PM,-2.0,4.5
Fairfield,Fairleigh Dickinson,6,144,H,06:00 PM,0.1,9.9
Portland,Oregon,-14,140,H,08:00 PM,16.5,8.1
Gardner Webb,North Carolina Central,7,135,H,06:00 PM,10.8,4.6
Southeast Missouri St.,Southern Illinois,-10,136,H,07:00 PM,-4.7,-1.5
Lamar,Texas St.,-15,135,H,07:00 PM,-7.2,-12.1
Nebraska Omaha,UNLV,-19,137,H,09:00 PM,-8.8,-6.7
