AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Purdue,Illinois,-2,154,H,11:00 AM,-13.5,-3.5
Wyoming,Nevada,2,150,H,06:00 PM,-2.7,9.3
Utah,Arizona St.,1,137,H,03:00 PM,-1.8,11.0
Seattle,Cal Baptist,1,143,H,09:00 PM,7.0,1.6
Drake,Southern Illinois,-1,127,H,07:00 PM,-10.2,-2.2
Indiana,Nebraska,9,143,H,05:00 PM,-0.1,-0.2
Charlotte,Florida Atlantic,-2,142,H,03:00 PM,-1.3,5.2
Mercer,The Citadel,2,152,H,06:00 PM,12.5,12.7
Delaware,Northeastern,3,139,H,06:00 PM,12.4,14.6
James Madison,Elon,3,149,H,03:00 PM,-3.2,-8.8
Harvard,Dartmouth,-1,133,H,06:00 PM,-11.1,-4.9
Texas Southern,Jackson St.,1,121,H,05:00 PM,2.6,-0.7
Belmont,SIU Edwardsville,9,147,H,06:00 PM,-3.0,-13.4
UNLV,San Jose St.,4,138,H,08:00 PM,5.8,12.5
Notre Dame,Howard,8,150,H,01:30 PM,10.5,9.3
Yale,Brown,-5,141,H,04:00 PM,-6.6,-0.2
Tennessee Tech,Tennessee St.,2,146,H,01:00 PM,1.8,3.8
LIU Brooklyn,St. Francis NY,2,146,H,02:00 PM,6.0,-1.1
Drexel,Hofstra,-10,150,H,03:00 PM,2.3,-0.2
Portland,Loyola Marymount,-7,143,H,03:00 PM,8.1,20.9
George Mason,George Washington,8,136,H,01:00 PM,-0.1,15.8
Penn,Princeton,-9,153,H,03:00 PM,5.3,0.6
Portland St.,Southern Utah,-9,139,H,08:00 PM,-4.8,9.2
La Salle,Saint Joseph's,-13,149,H,03:00 PM,-13.0,-5.0
Prairie View A&M,Alcorn St.,-8,152,H,07:30 PM,-11.5,-17.2
Bethune Cookman,Arkansas Pine Bluff,1,135,H,07:30 PM,11.7,1.7
St. Francis PA,Bryant,-8,152,H,06:00 PM,-6.2,2.2
Norfolk St.,Maryland Eastern Shore,4,134,H,03:00 PM,-15.5,-6.7
UNC Wilmington,College of Charleston,-14,152,H,06:00 PM,-0.3,2.8
Weber St.,Idaho St.,7,133,H,08:00 PM,-3.7,-4.7
Idaho,Northern Arizona,-6,156,H,07:00 PM,5.1,-0.2
Mount St. Mary's,Merrimack,-4,116,H,02:00 PM,5.2,4.0
Florida A&M,Mississippi Valley St.,5,143,H,07:30 PM,-11.9,-2.8
Towson,William & Mary,17,139,H,06:00 PM,4.0,-9.1
Fairleigh Dickinson,Wagner,-17,143,H,06:00 PM,3.4,9.5
Denver,UMKC,-9,133,H,07:00 PM,-1.5,-2.0
Murray St.,Eastern Illinois,21,129,H,03:30 PM,8.5,13.5
Lamar,Stephen F. Austin,-18,136,H,06:30 PM,-4.7,-4.9
Central Connecticut,Sacred Heart,-10,142,H,06:00 PM,1.6,-7.3
