AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Kentucky,Kansas,-4,158,H,05:00 PM
Baylor,Alabama,6,154,H,03:00 PM
Xavier,Creighton,1,139,H,01:00 PM
LSU,TCU,2,116,H,11:00 AM
Wake Forest,Syracuse,1,153,H,07:00 PM
Tennessee,Texas,-4,122,H,07:00 PM
VCU,Richmond,-1,125,H,03:00 PM
Illinois,Northwestern,4,144,H,03:30 PM
North Texas,Louisiana Tech,-1,123,H,03:00 PM
Oklahoma St.,Florida,-4,132,H,03:00 PM
Virginia Tech,Florida St. ABC,-3,129,H,02:00 PM
Indiana,Maryland,2,134,H,01:30 PM
Wichita St.,Tulane,-2,134,H,11:00 AM
Michigan,Michigan St.,-5,139,H,11:30 AM
West Virginia,Arkansas,-6,142,H,01:00 PM
Oklahoma,Auburn,-7,135,H,01:00 PM
Middle Tennessee,Western Kentucky,-3,145,H,02:00 PM
Kansas St.,Mississippi,1,125,H,03:00 PM
Connecticut,DePaul,5,145,H,05:30 PM
Utah,Washington,-1,139,H,04:00 PM
Rutgers,Nebraska,-1,139,H,05:30 PM
Miami FL,Georgia Tech,2,144,H,11:00 AM
Mississippi St.,Texas Tech,-8,128,H,05:00 PM
South Alabama,Troy,1,137,H,06:00 PM
Santa Clara,San Francisco,-9,149,H,06:00 PM
Utah St.,Nevada,2,150,H,09:00 PM
Houston,UCF,11,137,H,07:00 PM
Stephen F. Austin,Cal Baptist,-1,139,H,09:00 PM
Duke,Louisville,9,141,H,11:00 AM
Kent St.,Bowling Green,-2,142,H,04:00 PM
Grand Canyon,New Mexico St.,-3,129,H,08:00 PM
Bellarmine,Florida Gulf Coast,-1,143,H,06:00 PM
Delaware,James Madison,1,155,H,03:00 PM
Long Beach St.,UC Davis,-2,148,H,03:00 PM
St. John's,Villanova,-15,137,H,03:30 PM
North Carolina St.,North Carolina,-9,153,H,01:00 PM
Saint Joseph's,St. Bonaventure USA Net,-4,142,H,01:00 PM
Howard,North Carolina Central,2,150,H,03:00 PM
Southern,Alcorn St.,-2,144,H,03:00 PM
Georgia St.,Louisiana Monroe,-1,145,H,02:00 PM
