AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Duke,Kentucky,1,147,N,8:30 PM
Kansas,Michigan St.,5,143,N,6:00 PM
Belmont,Ohio,-5,151,H,6:00 PM
Toledo,Valparaiso,-2,146,H,6:00 PM
Northeastern,Colgate,-7,149,H,6:00 PM
UC Riverside,San Diego St.,-7,135,H,9:00 PM
Louisiana Tech,Alabama,-12,146,H,8:00 PM
Jacksonville St.,Wichita St.,-7,137,H,7:00 PM
UC Irvine,New Mexico St.,-4,134,H,8:00 PM
Marist,American,1,131,H,7:00 PM
Abilene Christian,Utah,-4,140,H,7:00 PM
Pepperdine,Rice,-4,160,H,7:00 PM
Stony Brook,George Mason,-3,141,H,6:00 PM
Saint Peter's,VCU,-8,132,H,5:00 PM
Cleveland St.,BYU,-11,149,H,9:00 PM
Dixie St.,Gonzaga,-35,169,H,8:00 PM
Miami OH,Georgia Tech,-7,137,H,6:30 PM
Chattanooga,Loyola Marymount,-8,142,H,9:00 PM
Tennessee St.,Alabama A&M,-1,145,H,7:00 PM
Rider,Duquesne,-3,145,H,6:00 PM
Akron,Ohio St.,-15,145,H,5:00 PM
Monmouth,Charlotte,-6,144,H,6:00 PM
Ball St.,Georgia Southern,-3,141,H,6:00 PM
Morehead St.,Auburn,-13,145,H,7:00 PM
Delaware,Davidson,-5,135,H,6:00 PM
Jackson St.,Illinois,-20,144,H,7:30 PM
Oral Roberts,Colorado St.,-14,160,H,8:30 PM
Bradley,South Dakota St.,-9,147,H,8:15 PM
Oakland,West Virginia,-15,157,H,6:00 PM
Cal St. Fullerton,Santa Clara,-10,162,H,8:00 PM
Appalachian St.,Iona,-9,143,H,6:00 PM
LIU Brooklyn,San Francisco,-14,150,H,9:30 PM
Milwaukee,North Dakota,3,147,H,7:00 PM
FIU,Georgia,-6,156,H,6:00 PM
UMKC,Minnesota,-7,139,H,7:00 PM
Tennessee Tech,Memphis,-27,155,H,7:00 PM
UT Arlington,Oklahoma St.,-16,144,H,7:00 PM
Tarleton St.,Stanford,-10,132,H,9:00 PM
Elon,Florida,-16,144,H,7:00 PM
Utah Valley,Boise St.,-12,146,H,8:00 PM
Boston University,Rhode Island,-10,142,H,6:00 PM
Portland St.,Oregon St.,-10,142,H,9:30 PM
Quinnipiac,Maryland,-17,139,H,6:00 PM
The Citadel,Pittsburgh,-9,155,H,6:00 PM
Mercer,Arkansas,-17,147,H,7:00 PM
UC Davis,Utah St.,-15,143,H,8:30 PM
Longwood,Iowa,-13,143,H,9:00 PM
UMBC,Massachusetts,-12,158,H,6:30 PM
Navy,Virginia,-8,122,H,8:00 PM
Cal St. Bakersfield,UCLA,-22,138,H,10:00 PM
Evansville,Cincinnati,-11,141,H,6:00 PM
Towson,Albany,-6,146,H,6:00 PM
Western Illinois,Nebraska,-15,151,H,7:00 PM
Hartford,Wagner,-5,139,H,6:00 PM
Sacred Heart,La Salle,-5,145,H,7:00 PM
Grambling St.,Grand Canyon,-10,146,H,8:00 PM
Texas Southern,Oregon,-18,150,H,6:00 PM
UNC Asheville,UAB,-15,153,H,6:30 PM
Montana St.,Colorado,-13,139,H,9:00 PM
Southeast Missouri St.,Missouri St.,-13,149,H,7:00 PM
Fairfield,Providence,-14,136,H,6:00 PM
St. Francis PA,George Washington,-5,149,H,7:00 PM
St. Francis NY,Wisconsin,-14,142,H,7:00 PM
Siena,St. Bonaventure,-18,138,H,6:00 PM
Prairie View A&M,Saint Mary's,-14,128,H,9:00 PM
North Carolina A&T,UNC Greensboro,-9,145,H,6:00 PM
Canisius,Miami FL,-15,153,H,6:30 PM
St. Thomas,Chicago St.,1,151,H,7:00 PM
Indiana St.,Green Bay,6,142,H,7:00 PM
Hofstra,Houston,-19,139,H,7:00 PM
Nicholls St.,Northern Iowa,-16,158,H,7:00 PM
Illinois Chicago,Dayton,-10,132,H,6:00 PM
Texas St.,Incarnate Word,5,135,H,6:30 PM
Louisiana Monroe,LSU,-18,152,H,7:00 PM
Niagara,Xavier,-20,148,H,6:30 PM
Loyola MD,North Carolina,-21,145,H,6:00 PM
UNC Wilmington,Illinois St.,-8,148,H,7:00 PM
Bellarmine,Purdue,-22,140,H,6:00 PM
Mount St. Mary's,Villanova,-17,129,H,3:30 PM
Southern Illinois,Little Rock,7,135,H,5:00 PM
Portland,Arizona St.,-21,163,H,6:00 PM
Coppin St.,Loyola Chicago,-24,152,H,7:00 PM
Southern,Louisville,-22,146,H,8:00 PM
Kennesaw St.,Iowa St.,-10,146,H,7:00 PM
New Orleans,Mississippi,-16,144,H,6:30 PM
Northern Arizona,Arizona,-21,149,H,9:30 PM
Eastern Washington,Nevada,-18,148,H,9:00 PM
Eastern Michigan,Indiana,-20,138,H,5:30 PM
Houston Baptist,Texas,-34,154,H,8:00 PM
Cal St. Northridge,USC,-24,150,H,8:00 PM
Lafayette,Syracuse,-20,152,H,6:00 PM
North Florida,Texas Tech,-22,142,H,7:00 PM
Bowling Green,Western Carolina,8,152,H,6:00 PM
UC San Diego,California,-14,146,H,4:00 PM
Maine,Virginia Tech,-18,132,H,7:00 PM
Northern Illinois,Washington,-18,148,H,9:00 PM
Bucknell,North Carolina St.,-21,147,H,7:00 PM
Presbyterian,Clemson,-17,131,H,6:00 PM
SIU Edwardsville,Marquette,-18,144,H,7:30 PM
Central Connecticut,Connecticut,-27,143,H,5:30 PM
Northwestern St.,Oklahoma,-24,144,H,7:00 PM
USC Upstate,South Carolina,-15,153,H,6:00 PM
North Carolina Central,Richmond,-22,146,H,6:00 PM
Eastern Illinois,Northwestern,-22,144,H,7:00 PM
McNeese St.,SMU,-19,151,H,7:00 PM
Central Arkansas,Saint Louis,-16,146,H,7:00 PM
Southeastern Louisiana,Tulane,-15,143,H,7:00 PM
Alcorn St.,Washington St.,-22,142,H,2:00 PM
Central Michigan,Missouri,-17,149,H,7:00 PM
Dartmouth,Boston College,-15,131,H,7:00 PM
IUPUI,Butler,-21,139,H,5:45 PM
Alabama St.,Western Kentucky,-21,143,H,7:00 PM
Bethune Cookman,South Florida,-12,140,H,3:00 PM
Columbia,Fordham,-11,133,H,7:00 PM
Cornell,Binghamton,-8,140,H,6:30 PM
South Carolina St.,East Carolina,-17,147,H,6:00 PM
Arkansas Pine Bluff,Creighton,-27,143,H,7:00 PM
Mississippi Valley St.,St. John's,-31,151,H,6:45 PM
Maryland Eastern Shore,Saint Joseph's,-23,145,H,7:00 PM
