AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Arizona,UCLA,1,153,H,10:00 PM,-2.0,-10.6
Michigan St.,Illinois,-5,147,H,06:00 PM,-4.8,0.3
Texas,TCU,1,115,H,08:00 PM,-5.9,12.8
Maryland,Rutgers,-2,130,H,07:00 PM,-6.2,15.0
Mississippi St.,Kentucky,-11,147,H,08:00 PM,-7.9,0.9
Missouri St.,Indiana St.,6,144,H,06:00 PM,3.9,-8.0
Cincinnati,Temple,3,129,H,06:00 PM,-3.4,-1.4
Richmond,Rhode Island,-4,132,H,05:30 PM,4.5,5.4
Kansas St.,Baylor,-14,136,H,07:00 PM,5.3,-4.2
Clemson,Duke,-13,147,H,06:00 PM,-0.1,6.9
Wyoming,Boise St.,-6,126,H,08:00 PM,-11.8,-7.7
Fresno St.,New Mexico,5,137,H,08:00 PM,3.3,-3.2
Syracuse,Pittsburgh,4,140,H,07:00 PM,-7.6,-8.5
Alabama,Georgia,12,164,H,05:30 PM,-14.2,-22.5
Colorado,Oregon,-8,134,H,09:00 PM,-3.0,-10.9
Nevada,Colorado St.,-12,156,H,08:00 PM,2.9,11.7
Auburn,Missouri,15,141,H,07:30 PM,-8.3,-22.0
Buffalo,Toledo,-10,156,H,06:00 PM,-12.1,-10.2
DePaul,Villanova,-16,134,H,06:00 PM,1.9,-1.5
Miami OH,Ball St.,-1,155,H,06:00 PM,-13.8,-22.8
Wright St.,Northern Kentucky,-1,145,H,06:00 PM,5.6,-3.3
Air Force,San Jose St.,-2,120,H,09:00 PM,15.4,12.0
Georgetown,Connecticut,-17,153,H,07:30 PM,11.1,-1.2
Southern Illinois,Loyola Chicago,-10,126,H,07:00 PM,15.8,5.7
St. Thomas,North Dakota St.,-3,149,H,07:00 PM,1.6,-11.1
Fordham,Dayton,-10,122,H,06:00 PM,-13.9,-2.8
Eastern Michigan,Bowling Green,-7,155,H,06:00 PM,-3.8,-4.7
Siena,Iona,-15,139,H,06:00 PM,10.7,3.5
UC Santa Barbara,Cal St. Northridge,4,128,H,09:00 PM,-1.8,12.3
William & Mary,College of Charleston,-19,157,H,06:00 PM,17.4,11.4
Northern Illinois,Ohio,-17,133,H,06:00 PM,-1.0,-6.1
Akron,Central Michigan,9,141,H,06:00 PM,2.3,-0.8
Western Michigan,Kent St.,-11,127,H,06:00 PM,3.2,-1.7
Columbia,Yale,-18,146,H,06:00 PM,8.6,2.4
