AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Iowa,Utah St.,-1,155,N,08:10 PM
Auburn,Saint Louis,4,146,H,08:00 PM
Kentucky,North Carolina,1,149,N,04:30 PM
Gonzaga,Texas Tech,8,146,N,12:00 PM
Louisville,Western Kentucky,4,136,H,02:00 PM
Providence,Connecticut,-6,138,H,04:00 PM
West Virginia,UAB,-3,133,H,04:00 PM
Houston,Oklahoma St.,8,128,N,06:00 PM
Baylor,Oregon ESPNN,8,136,H,09:00 PM
Northern Iowa,Marshall,-4,158,H,03:00 PM
Indiana,Notre Dame,6,136,N,01:30 PM
Hofstra,Arkansas,-10,156,H,07:00 PM
TCU,Georgetown,2,140,H,01:00 PM
LSU,Louisiana Tech,10,142,N,06:00 PM
North Texas,Wichita St.,-3,111,H,03:00 PM
George Mason,Georgia,-1,139,H,06:00 PM
BYU,Weber St.,6,144,H,07:00 PM
Marquette,Xavier,-16,152,H,03:00 PM
Chattanooga,Murray St.,-5,129,H,07:25 PM
Saint Joseph's,Bradley,-2,134,H,02:00 PM
Grand Canyon,San Francisco,-6,130,N,06:30 PM
Seattle,Washington,-4,144,H,09:00 PM
Dayton,Mississippi,-2,118,H,05:30 PM
Georgia Tech,USC,-9,133,N,03:00 PM
Stephen F. Austin,Kansas,-23,155,H,07:00 PM
East Tennessee St.,UNC Asheville,4,132,H,01:00 PM
Loyola Marymount,Nevada,-7,147,H,10:00 PM
South Carolina,Clemson,-8,138,H,05:00 PM
Cal Baptist,Arizona,-26,158,H,05:00 PM
Jacksonville St.,Alabama,-17,145,H,07:30 PM
Ball St.,Illinois St.,-1,157,H,03:00 PM
Howard,North Carolina A&T TNT,1,151,N,03:30 PM
Butler,Purdue,-14,132,N,11:00 AM
Utah,Missouri,8,132,H,03:30 PM
Tennessee St.,South Carolina St.,1,149,H,01:00 PM
Texas A&M,Oregon St.,5,127,H,07:00 PM
Saint Peter's,Stony Brook,-6,134,H,05:30 PM
Northern Colorado,Washington St.,-13,139,H,03:00 PM
La Salle,Bucknell,-1,147,H,01:00 PM
Kennesaw St.,Samford,-3,145,H,06:00 PM
Portland St.,Cal St. Northridge,-1,131,H,09:00 PM
Tennessee Tech,Wright St.,-5,145,H,01:00 PM
Southern Utah,Michigan,-15,139,H,06:00 PM
Northern Kentucky,Eastern Kentucky,-9,151,H,06:00 PM
Elon,Duke,-29,157,H,03:00 PM
Pittsburgh,St. John's,-14,138,H,11:00 AM
Wofford,Presbyterian,3,123,H,03:00 PM
Marist,Boston University,-7,125,H,04:00 PM
St. Francis PA,Illinois,-23,153,H,12:00 PM
Bellarmine,Miami OH,-12,144,H,01:00 PM
Southeast Missouri St.,Pepperdine,-8,150,H,07:00 PM
Florida,South Florida,14,118,N,12:00 PM
Dixie St.,North Dakota,5,155,H,01:00 PM
Hartford,Central Connecticut,-1,143,H,12:00 PM
Cal St. Bakersfield,Colorado,-9,127,H,01:00 PM
Buffalo,Canisius,17,151,N,04:00 PM
Northern Arizona,San Diego,-8,128,N,09:00 PM
Morgan St.,Mount St. Mary's,-4,136,H,03:00 PM
Southern Miss,Louisiana Monroe,-9,137,H,02:30 PM
Radford,Davidson,-17,133,H,12:00 PM
Albany,Niagara,-6,116,N,01:00 PM
Austin Peay,Vanderbilt,-14,136,H,01:30 PM
UNC Wilmington,High Point,-8,132,H,01:00 PM
Central Arkansas,Missouri St.,-23,149,H,07:00 PM
Lamar,Texas A&M Corpus Chris,-8,144,H,12:00 PM
Alabama A&M,Indiana St.,-13,137,H,12:00 PM
North Carolina Central,Delaware St.,4,142,N,12:20 PM
Fairleigh Dickinson,Virginia,-18,120,H,01:00 PM
Eastern Illinois,Western Illinois,-21,139,H,02:00 PM
Mississippi Valley St.,Nicholls St.,-21,153,H,03:00 PM
