AWAY,HOME,VegasSpread,VegasTotal,Court,Time
Richmond,Utah St.,1,139,N,5:00 PM
Stanford,Santa Clara,-1,139,H,10:00 PM
Villanova,UCLA,-7,139,H,10:30 PM
San Diego St.,BYU,-3,131,H,8:00 PM
Wright St.,Marshall,-3,151,H,6:00 PM
Minnesota,Western Kentucky,-2,138,N,5:30 PM
Massachusetts,Yale,-2,146,H,7:00 PM
Virginia Tech,Navy,4,136,H,7:30 PM
Oregon St.,Iowa St.,3,139,H,7:00 PM
Princeton,South Carolina,-2,140,N,8:30 PM
South Dakota St.,Alabama,-13,153,H,7:00 PM
SMU,Oregon,-9,143,H,10:00 PM
Louisiana Lafayette,Southern Miss,-4,146,H,7:00 PM
Northeastern,Georgia St.,-2,138,H,12:00 PM
East Tennessee St.,Appalachian St.,-3,131,H,5:30 PM
Lipscomb,College of Charleston,-3,149,H,6:30 PM
VMI,Presbyterian,2,144,H,6:00 PM
San Diego,Nevada,-9,145,H,9:00 PM
Southern Utah,Dixie St.,5,153,H,8:00 PM
UNC Greensboro,Northern Kentucky,-4,132,H,6:00 PM
Kent St.,Xavier,-13,143,H,5:30 PM
Illinois St.,Eastern Michigan,-1,131,H,5:00 PM
Texas St.,LSU,-12,140,H,7:00 PM
Sam Houston St.,Nebraska,-11,147,H,7:30 PM
Bryant,Rhode Island,-11,155,H,5:00 PM
Seattle,Washington St.,-9,139,H,9:00 PM
American,William & Mary,1,133,H,6:00 PM
Abilene Christian,Texas A&M,-7,129,H,7:00 PM
Fordham,Manhattan,-2,128,H,6:00 PM
Arkansas St.,Illinois,-20,148,H,8:00 PM
Furman,Louisville,-11,135,H,6:00 PM
Morehead St.,UAB,-11,141,H,6:00 PM
Jackson St.,Louisiana Tech,-8,130,H,6:30 PM
Rice,Houston,-15,141,H,7:00 PM
Oakland,Oklahoma St.,-17,147,H,7:00 PM
Penn,George Mason,-8,138,H,6:00 PM
Tarleton St.,Kansas,-19,133,H,7:00 PM
Idaho St.,Pepperdine,-6,140,H,9:00 PM
Wofford,Clemson,-9,127,H,6:00 PM
North Dakota St.,Cal Poly,5,135,H,4:00 PM
Campbell,Hartford,5,131,N,12:30 PM
LIU Brooklyn,Fresno St.,-10,144,H,9:00 PM
Canisius,East Carolina,-8,144,H,6:00 PM
Pittsburgh,West Virginia,-15,137,H,7:30 PM
Indiana St.,Purdue,-21,135,H,7:30 PM
UMKC,Iowa,-15,143,H,7:00 PM
Stetson,Georgia Tech,-12,138,H,6:30 PM
UTSA,Oklahoma,-17,141,H,7:00 PM
New Hampshire,Marquette,-12,140,H,7:30 PM
Grambling St.,Texas Tech,-19,139,H,7:00 PM
Robert Morris,Kentucky,-21,149,H,6:00 PM
Louisiana Monroe,Auburn,-23,141,H,7:00 PM
Niagara,Ohio St.,-21,141,H,6:00 PM
Texas Southern,Saint Mary's,-16,134,H,9:00 PM
Eastern Washington,UC Davis,-8,146,H,4:00 PM
Brown,North Carolina,-22,138,H,8:00 PM
Army,Duke,-26,138,H,6:00 PM
High Point,Northwestern,-16,136,H,7:00 PM
Western Michigan,Michigan St.,-21,143,H,5:30 PM
SIU Edwardsville,Chicago St.,3,145,H,7:00 PM
Northern Illinois,Indiana,-21,137,H,6:00 PM
Coppin St.,Rider,-12,158,H,6:00 PM
UT Rio Grande Valley,Arizona,-23,139,H,8:00 PM
Marist,Columbia,8,130,H,6:00 PM
Charleston Southern,Mississippi,-17,133,H,6:00 PM
Incarnate Word,Baylor,-28,144,H,7:30 PM
Austin Peay,Southern Illinois,-13,139,H,7:00 PM
North Florida,Grand Canyon,-13,139,H,8:00 PM
Radford,Virginia,-13,119,H,6:00 PM
Loyola MD,South Carolina St.,9,143,N,3:00 PM
Green Bay,Wisconsin,-20,132,H,7:00 PM
Cornell,Lafayette,-6,140,H,6:30 PM
Eastern Illinois,Saint Louis,-17,139,H,7:00 PM
Central Arkansas,Butler,-19,137,H,5:30 PM
Western Carolina,Wake Forest,-21,141,H,6:30 PM
Arkansas Pine Bluff,Colorado St.,-29,147,H,9:00 PM
Holy Cross,Boston College,-18,140,H,6:00 PM
Bethune Cookman,Middle Tennessee,-12,146,H,6:00 PM
USC Upstate,Charlotte,-15,131,H,6:00 PM
