AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Texas,Purdue,-1,133,N,7:40 PM,2.3,1.5
TCU,Arizona,-6,146,N,8:40 PM,8.7,12.3
Iowa St.,Wisconsin,-1,125,N,5:10 PM,-9.4,-0.6
Houston,Illinois,5,131,N,11:10 AM,3.9,12.5
Ohio St.,Villanova,-4,132,N,1:40 PM,-2.4,3.5
Michigan St.,Duke,-7,147,N,4:15 PM,-2.7,5.5
Miami FL,Auburn,-6,148,N,6:45 PM,9.2,10.8
Dayton,Vanderbilt,-2,130,H,2:00 PM,-10.6,0.6
Florida,Xavier,-3,143,H,12:00 PM,13.4,3.3
SMU,Washington St.,-4,138,H,2:00 PM,2.1,-2.2
Notre Dame,Texas Tech,-7,129,N,6:10 PM,2.8,-3.1
VCU,Wake Forest,-6,142,H,11:00 PM,-0.7,-5.2
Oregon,Texas A&M,-6,142,H,11:00 PM,-16.9,-12.1
Northern Iowa,BYU,-6,150,H,8:00 PM,4.1,-1.4
UNC Wilmington,VMI,-1,151,N,11:00 AM,11.8,10.2
Virginia,North Texas,-3,105,H,5:00 PM,8.3,4.4
Abilene Christian,Troy,4,140,N,6:30 PM,11.8,5.7
St. Bonaventure,Oklahoma,-10,134,H,7:00 PM,2.1,-6.2
Florida Atlantic,Northern Colorado,6,156,N,1:30 PM,-1.9,3.3
