AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Purdue,Villanova,3,139,N,12:00 PM,0.7,-3.0
Arizona,Michigan,-2,138,N,8:30 PM,27.0,28.0
Clemson,West Virginia,-1,133,N,4:00 PM,8.1,2.8
Oklahoma,Utah St.,1,133,N,2:00 PM,-8.3,-8.5
North Carolina,Tennessee,-3,147,N,2:30 PM,-0.7,-2.2
Boise St.,Mississippi,1,131,N,12:00 PM,6.3,7.6
Colorado St.,Creighton,1,143,N,4:45 PM,0.6,6.3
Florida St.,Loyola Marymount,4,142,N,4:30 PM,15.0,16.6
Boston College,Rhode Island,-2,130,N,4:00 PM,-2.9,-4.4
Northeastern,Southern Illinois,1,125,N,7:00 PM,12.7,11.1
Marquette,St. Bonaventure,-5,133,N,6:30 PM,1.8,-5.3
Tulsa,Utah,-2,134,N,6:30 PM,-10.4,-14.1
Davidson,East Carolina,1,137,N,5:00 PM,-9.4,-3.3
Missouri,SMU,-6,136,N,7:00 PM,-9.5,-9.8
Old Dominion,Penn,2,132,N,11:30 AM,-27.6,-24.1
Elon,Temple,-3,137,N,9:30 AM,4.2,0.8
Indiana St.,New Mexico St.,-5,135,N,7:30 PM,4.9,-4.9
Louisiana Lafayette,Indiana,-13,145,H,6:30 PM,-4.4,-5.1
Wichita St.,UNLV,7,131,N,10:59 PM,-4.9,-8.2
Navy,Furman,-5,133,H,2:00 PM,10.0,16.5
Northern Colorado,Cal Baptist,-4,146,H,9:00 PM,-0.4,-1.2
Princeton,Oregon St.,-4,128,H,2:00 PM,25.9,24.2
Ball St.,Massachusetts,-6,152,N,1:30 PM,12.1,17.2
Pepperdine,Fresno St.,-6,136,N,12:00 AM,-12.2,-16.7
Jackson St.,Marshall,-8,142,H,3:00 PM,4.5,3.0
Georgia Southern,Wofford,-5,133,H,4:00 PM,7.4,2.6
Niagara,Youngstown St.,-2,142,H,2:45 PM,0.4,4.7
FIU,UNC Greensboro,-3,123,N,4:00 PM,12.1,12.8
SIU Edwardsville,St. Thomas,-1,145,N,12:00 PM,-15.3,-17.2
Morehead St.,Mississippi St.,-13,131,H,2:00 PM,-22.0,-20.2
Merrimack,Virginia Tech,-14,118,H,3:00 PM,-17.0,-17.2
Texas Southern,North Carolina St.,-12,140,H,5:00 PM,11.7,12.1
Norfolk St.,Xavier,-19,139,H,11:00 AM,2.3,-3.2
Grambling St.,Iowa St.,-9,141,H,5:00 PM,-13.0,-18.4
High Point,Georgia St.,-11,145,H,1:00 PM,1.5,-1.5
Tennessee St.,South Dakota,-9,151,H,2:00 PM,-1.2,-3.3
Southern,Nebraska,-14,144,H,3:00 PM,5.9,3.5
Little Rock,Sam Houston St.,-7,139,N,1:30 PM,-0.4,6.2
Florida A&M,Miami FL,-14,138,H,7:00 PM,-2.8,-4.8
Howard,William & Mary,6,146,N,,18.0,16.4
Boston University,Northern Illinois,7,129,N,11:00 AM,12.8,12.4
Green Bay,Weber St.,-11,147,N,11:00 AM,4.2,5.7
Texas A&M Corpus Chris,UTSA,-8,146,H,3:00 PM,33.7,40.2
Alabama A&M,UAB,-19,139,H,2:00 PM,-1.8,-3.2
Lamar,Southern Miss,-11,135,H,2:00 PM,9.1,7.5
Bryant,Holy Cross,11,157,N,11:00 AM,10.1,14.7
Air Force,Bethune Cookman,4,124,N,1:30 PM,-1.0,-3.4
Houston Baptist,Denver,-8,146,H,3:00 PM,-12.6,-14.1
Western Carolina,Longwood,-15,141,H,3:00 PM,-5.9,9.5
North Dakota,Tennessee Martin,8,150,N,1:00 PM,-11.8,-16.3
