AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Villanova,Marquette,4,130,H,09:00 PM,-14.1,-8.0
Oklahoma St.,Kansas St.,-1,127,H,08:00 PM,-9.3,9.4
Syracuse,North Carolina St.,-1,157,H,08:00 PM,-5.6,9.8
Saint Louis,George Mason,-1,135,H,06:00 PM,1.9,-1.3
Wisconsin,Illinois,-6,138,H,08:00 PM,-2.6,1.3
Drake,Indiana St.,-1,141,H,06:00 PM,-10.5,1.1
Florida St.,Clemson,-3,139,H,06:00 PM,-0.4,-9.0
Bradley,Northern Iowa,-2,140,H,07:00 PM,9.8,10.3
Dayton,VCU,-3,113,H,08:00 PM,12.2,2.2
Notre Dame,Miami FL,-6,144,H,06:00 PM,-5.6,-12.1
Purdue,Minnesota,9,145,H,06:00 PM,1.6,6.1
Missouri St.,Southern Illinois,2,126,H,08:00 PM,4.1,-9.7
Rhode Island,Fordham,2,122,H,06:00 PM,-4.5,-1.1
Temple,East Carolina,-2,132,H,06:00 PM,6.2,7.7
Tulane,Houston,-17,135,H,07:00 PM,9.5,5.4
Florida,Missouri,6,134,H,02:00 PM,-11.9,-9.8
Arkansas,Georgia,9,157,H,06:00 PM,1.8,3.6
Vanderbilt,Kentucky,-16,138,H,06:00 PM,-7.7,-12.7
VMI,UNC Greensboro,-1,135,H,06:00 PM,5.5,6.7
Longwood,UNC Asheville,2,138,H,05:30 PM,3.2,3.9
Gardner Webb,High Point,1,125,H,06:00 PM,0.5,8.3
Chattanooga,Samford,6,144,H,07:00 PM,-1.8,-3.6
La Salle,George Washington,-3,135,H,06:00 PM,1.8,-2.6
Georgia Tech,Virginia Tech,-10,130,H,08:00 PM,8.3,-2.4
Butler,Xavier,-14,130,H,06:00 PM,1.5,9.8
UMBC,Albany,-2,130,H,06:00 PM,-9.8,-9.3
East Tennessee St.,Western Carolina,4,148,H,06:00 PM,3.2,0.9
Illinois St.,Loyola Chicago,-14,144,H,07:00 PM,19.0,9.4
Pittsburgh,Wake Forest,-14,132,H,06:00 PM,7.9,-2.1
Campbell,Presbyterian,2,118,H,06:00 PM,5.9,4.2
Army,Loyola MD,-4,138,H,06:00 PM,-2.0,2.9
Navy,Lehigh,6,130,H,06:00 PM,-13.3,-9.3
The Citadel,Furman,-18,146,H,06:00 PM,-17.9,-18.1
USC Upstate,Hampton,4,134,H,06:00 PM,12.8,17.3
Hartford,New Hampshire,-7,137,H,06:00 PM,16.7,13.3
Binghamton,Stony Brook,-11,143,H,06:00 PM,-4.5,-9.9
Lamar,UT Rio Grande Valley,-9,149,H,07:00 PM,7.0,15.2
UMass Lowell,Maine,5,129,H,06:00 PM,-18.4,-6.6
Bucknell,Colgate,-15,147,H,06:00 PM,-8.8,-2.0
NJIT,Vermont,-20,134,H,06:00 PM,-5.7,-3.4
Chicago St.,Abilene Christian,-17,141,H,05:00 PM,3.1,2.8
American,Lafayette,-5,129,H,06:00 PM,-2.0,8.4
Coppin St.,Delaware St.,8,142,H,06:30 PM,14.4,-4.4
Charleston Southern,Radford,-10,134,H,05:30 PM,-1.0,3.9
