AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Iowa St.,Oklahoma St.,-1,123,H,07:00 PM,6.9,-6.0
Marquette,Seton Hall,-3,147,H,07:30 PM,21.1,26.4
Oklahoma,West Virginia,-1,129,H,07:00 PM,6.1,5.1
San Diego St.,Utah St.,-1,121,H,09:30 PM,2.8,-7.7
Arkansas,Mississippi,2,140,H,06:00 PM,5.3,5.0
Providence,Xavier,-7,141,H,05:30 PM,1.2,13.1
Florida,Tennessee,-8,134,H,05:00 PM,-1.5,2.8
VCU,Davidson,-4,124,H,07:30 PM,4.0,7.1
Florida St.,Georgia Tech,4,132,H,08:00 PM,-4.0,-8.2
Vanderbilt,South Carolina,-1,127,H,06:00 PM,1.3,-5.9
Miami FL,Virginia Tech,-4,138,H,06:00 PM,17.9,12.0
Drake,Illinois St.,1,147,H,07:00 PM,-12.5,-5.7
Texas A&M,LSU,-9,123,H,08:00 PM,15.4,13.7
UCF,Wichita St.,-4,132,H,07:00 PM,-9.3,-10.4
Northwestern,Michigan,-8,142,H,05:30 PM,-2.9,-7.1
Sam Houston St.,Cal Baptist,-1,135,H,09:00 PM,11.1,11.8
Mercer,Samford,1,149,H,07:00 PM,6.0,-2.1
North Carolina St.,Notre Dame,-6,144,H,08:00 PM,3.1,2.3
Creighton,Butler,6,122,H,05:30 PM,13.1,-13.0
Vermont,Stony Brook,5,143,H,06:00 PM,-1.0,-5.3
Abilene Christian,UT Rio Grande Valley,4,152,H,07:00 PM,-5.5,0.4
Stephen F. Austin,Seattle,-5,137,H,09:00 PM,-8.3,-12.9
Massachusetts,La Salle,-1,155,H,06:00 PM,-9.7,-7.9
Bradley,Valparaiso,3,133,H,06:00 PM,14.7,13.4
SMU,South Florida,4,126,H,06:00 PM,-3.0,6.8
Saint Peter's,Marist,-6,124,H,06:00 PM,-4.1,15.3
Utah,Washington St.,-9,135,H,09:00 PM,-5.8,-5.4
Winthrop,USC Upstate,-2,150,H,05:00 PM,-16.9,-14.3
Penn St.,Indiana,-8,120,H,07:30 PM,1.6,-17.1
St. Bonaventure,George Mason,-5,133,H,06:00 PM,-8.7,-11.6
Wofford,Chattanooga,-8,136,H,06:00 PM,1.6,-6.7
VMI,Furman,-11,151,H,06:00 PM,-2.1,-8.4
Army,Lehigh,1,147,H,06:00 PM,-7.3,-9.4
Boston College,North Carolina,-13,147,H,06:00 PM,-8.5,0.1
Tulsa,Tulane,-7,139,H,08:00 PM,-9.9,-21.5
UNC Greensboro,East Tennessee St.,-5,119,H,06:00 PM,2.5,3.1
Old Dominion,Charlotte,-5,135,H,06:00 PM,10.8,1.8
Duquesne,Saint Joseph's,-9,141,H,06:00 PM,-3.0,-7.7
Albany,UMass Lowell,-3,123,H,06:00 PM,20.5,8.7
Western Carolina,The Citadel,-7,155,H,06:00 PM,2.7,2.2
North Carolina A&T,Longwood,-11,141,H,06:00 PM,-5.0,1.5
George Washington,Saint Louis,-18,140,H,07:00 PM,1.7,1.3
Northern Iowa,Evansville,8,130,H,06:00 PM,7.4,0.7
Boston University,Lafayette,3,131,H,06:00 PM,-3.6,3.5
Binghamton,Hartford,-3,143,H,06:00 PM,-3.6,-15.8
Radford,High Point,-6,124,H,06:00 PM,0.5,-0.1
Navy,Bucknell,8,134,H,06:00 PM,1.0,2.5
Presbyterian,Charleston Southern,4,128,H,06:00 PM,-6.4,-6.3
Tarleton St.,Lamar,7,125,H,07:00 PM,-8.8,-8.8
NJIT,UMBC,-10,134,H,06:00 PM,-5.7,-4.5
Hampton,Campbell,-11,117,H,06:00 PM,1.3,-4.1
Holy Cross,American,-6,136,H,06:00 PM,5.9,-3.7
Maine,New Hampshire,-14,126,H,06:00 PM,15.3,6.8
