AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Villanova,Seton Hall,1,133,H,01:00 PM,-3.0,-4.3
Memphis,Wichita St.,-1,141,H,11:00 AM,-9.6,-9.4
Baylor,Iowa St.,5,129,H,01:00 PM,-4.8,-6.4
Wake Forest,Miami FL,1,155,H,05:00 PM,1.3,1.9
Creighton,Marquette,1,147,H,11:00 AM,12.8,12.7
Providence,DePaul,3,145,H,02:00 PM,5.7,14.2
Boise St.,Wyoming,-1,127,H,03:00 PM,8.8,7.1
Furman,VMI,1,149,H,12:00 PM,-14.7,-5.0
Buffalo,Akron,-2,144,H,01:00 PM,-8.1,-18.9
Florida St.,North Carolina St.,4,140,H,03:00 PM,-3.5,5.9
San Diego St.,UNLV,4,126,H,03:00 PM,-1.9,-4.3
Utah,Oregon,-5,141,H,09:30 PM,-5.0,-8.1
Toledo,Kent St.,3,137,H,01:00 PM,15.3,20.0
West Virginia,Texas,-8,114,H,11:00 AM,-0.7,-2.3
Western Illinois,St. Thomas,-2,158,H,02:00 PM,-14.6,-15.3
Bowling Green,Ball St.,-2,160,H,05:00 PM,2.3,6.5
Louisiana Lafayette,Coastal Carolina,-4,142,H,01:00 PM,-6.0,3.9
George Mason,Kansas,-18,148,H,04:00 PM,-5.7,6.1
Western Kentucky,Louisiana Tech,-9,147,H,01:00 PM,-2.1,-7.9
Weber St.,Montana,-3,139,H,08:00 PM,-17.6,-13.1
Virginia,Syracuse,-6,126,H,05:00 PM,-5.1,-14.7
Kansas St.,Oklahoma,-9,123,H,07:00 PM,-3.3,-9.6
New Mexico,Nevada,-10,164,H,08:00 PM,4.1,9.9
Northern Colorado,Southern Utah,-4,144,H,08:00 PM,0.6,2.3
Loyola MD,Army,-1,141,H,01:00 PM,15.1,17.8
Tarleton St.,Utah Valley,-4,114,H,03:00 PM,2.3,9.9
Eastern Washington,Northern Arizona,1,145,H,03:00 PM,2.5,-1.1
Georgia Southern,Arkansas St.,-3,135,H,04:00 PM,-2.9,-9.0
Troy,UT Arlington,-2,130,H,02:00 PM,-10.6,6.4
Abilene Christian,Dixie St.,8,154,H,08:00 PM,12.8,14.3
Tulane,Cincinnati,-10,132,H,06:00 PM,7.0,6.7
Rice,North Texas,-9,129,H,05:00 PM,-9.3,-2.8
Louisiana Monroe,Appalachian St.,-5,137,H,03:00 PM,9.7,4.3
Youngstown St.,Oakland,-11,139,H,02:00 PM,4.3,3.5
Austin Peay,Southeast Missouri St.,-4,156,H,04:00 PM,1.6,-5.7
Long Beach St.,Cal St. Bakersfield,-5,137,H,03:00 PM,2.1,12.1
Old Dominion,Florida Atlantic,-5,129,H,03:00 PM,2.6,4.5
Lehigh,American,-2,140,H,03:00 PM,0.1,-0.1
Milwaukee,Northern Kentucky,-5,131,H,01:00 PM,-1.2,4.0
UTSA,UAB,-21,147,H,02:00 PM,5.1,-5.1
Ohio,Western Michigan,12,138,H,02:30 PM,0.3,7.6
Cal St. Northridge,UC San Diego,-7,131,H,09:00 PM,10.9,0.6
Bucknell,Boston University,-11,141,H,12:00 PM,0.2,2.4
Green Bay,Wright St.,-9,141,H,01:00 PM,-0.0,5.1
Lamar,Stephen F. Austin,-16,138,H,02:00 PM,-2.9,-4.3
Chicago St.,New Mexico St.,-21,137,H,05:00 PM,1.2,-0.6
Navy,Holy Cross,13,129,H,01:00 PM,3.2,-3.0
Nebraska Omaha,Oral Roberts,-19,151,H,07:00 PM,-5.5,2.9
Idaho St.,Montana St.,-14,126,H,02:00 PM,-11.8,-7.3
