AWAY,HOME,VegasSpread,VegasTotal,Court,Time,Reg_dif,Over_dif
Connecticut,St. John's,1,153,H,11:00 AM,-8.8,-5.5
Colorado St.,Boise St.,-5,131,H,03:00 PM,1.2,9.7
Northwestern,Illinois,-10,140,H,01:00 PM,8.4,9.5
Northern Iowa,Loyola Chicago,-7,135,H,03:00 PM,3.1,9.8
Maryland,Purdue,-17,151,H,12:00 PM,-4.0,-0.3
Nebraska,Iowa,-17,163,H,01:00 PM,3.2,3.5
Monmouth,Iona,-8,142,H,12:00 PM,-7.0,3.4
UAB,Old Dominion,7,137,H,01:00 PM,-3.1,0.1
Mercer,UNC Greensboro,-4,124,H,02:00 PM,-3.7,-8.6
Siena,Rider,-3,129,H,12:00 PM,-6.7,-2.0
Charlotte,Middle Tennessee,-8,142,H,02:00 PM,-4.9,-1.3
Northern Kentucky,Wright St.,-6,140,H,11:00 AM,4.3,7.5
Marshall,UTEP,-9,145,H,02:00 PM,-6.4,-12.8
Detroit,Oakland,-9,143,H,12:00 PM,6.4,3.4
Manhattan,Quinnipiac,-6,154,H,01:00 PM,-5.3,-10.8
Robert Morris,Youngstown St.,-9,143,H,11:00 AM,-0.4,-8.1
Green Bay,Milwaukee,-4,128,H,01:00 PM,3.3,-1.3
