AWAY,HOME,VegasSpread,VegasTotal,Court,Time
BYU,Oregon,-1,139,N,9:00 PM
Seton Hall,Michigan,-7,135,H,8:00 PM
Nevada,Santa Clara,-3,147,H,8:00 PM
Miami FL,Florida Atlantic,1,145,H,5:00 PM
Creighton,Nebraska,-5,139,H,6:00 PM
Winthrop,Middle Tennessee,1,143,H,6:00 PM
Saint Louis,Memphis,-15,141,H,7:00 PM
Yale,Siena,1,139,H,6:00 PM
Abilene Christian,UT Arlington,1,129,H,7:00 PM
Georgia St.,Richmond,-8,148,H,6:00 PM
James Madison,Eastern Kentucky,-6,158,H,6:00 PM
Wright St.,Purdue,-15,143,H,6:00 PM
Jackson St.,Cal Baptist,-4,142,H,9:00 PM
Jacksonville St.,Troy,4,134,H,6:00 PM
USC,Florida Gulf Coast,10,146,H,5:00 PM
Virginia,Houston,-8,112,H,7:00 PM
UTSA,Denver,1,151,H,7:30 PM
Murray St.,Illinois St.,7,135,H,7:00 PM
North Dakota St.,Arizona,-12,132,H,8:00 PM
Hofstra,Iona,-9,145,H,6:00 PM
South Alabama,Alabama,-20,150,H,6:30 PM
Lehigh,Monmouth,-9,151,H,6:00 PM
Boston University,Northeastern,-7,131,H,6:00 PM
Gardner Webb,Duke,-20,140,H,6:00 PM
George Washington,Cal St. Fullerton,-7,155,H,9:30 PM
Southern,Rice,-8,152,H,7:00 PM
American,Georgetown,-8,136,H,7:30 PM
Tarleton St.,Wichita St.,-11,125,H,7:00 PM
Oklahoma St.,UMass Lowell,15,141,N,4:00 PM
New Orleans,Northwestern,-19,149,H,7:00 PM
NJIT,Rutgers,-13,129,H,6:00 PM
Howard,Villanova,-24,146,H,5:30 PM
UNC Wilmington,Pittsburgh,-8,140,H,6:00 PM
Mount St. Mary's,Kentucky,-19,131,H,6:00 PM
High Point,Notre Dame,-19,141,H,7:00 PM
Jacksonville,UCF,-19,139,H,6:00 PM
Tennessee Tech,Chattanooga,-13,139,H,6:00 PM
Colgate,Cornell,13,145,H,6:00 PM
North Carolina Central,Iowa,-23,149,H,8:00 PM
William & Mary,Norfolk St.,-7,133,H,6:00 PM
Lafayette,Penn,-9,149,H,6:00 PM
IUPUI,Texas A&M Corpus Chris,-3,133,N,5:00 PM
Alabama A&M,Cincinnati,-17,129,H,6:00 PM
Alabama St.,Iowa St.,-14,144,H,7:00 PM
Central Connecticut,North Carolina St.,-18,142,N,7:00 PM
Chicago St.,Loyola Chicago,-27,137,H,7:00 PM
South Carolina St.,Georgia,-15,151,H,6:00 PM
